survey_id,survey_reference,farmer_id,farm_id,scheme_id,crop_name,reason_for_survey,incident_type,incident_date,survey_date,sowing_date,loss_percentage,compensation_amount,weather_score,ndvi_drop,ai_confidence,fraud_risk_score,status
15,SURVEY-0000015,1470,2965,3,Cotton,Drought,PEST_ATTACK,2026-03-14,2026-05-13,2025-06-15,79,51016,83.46,71.32,96.89,90,REJECTED
16,SURVEY-0000016,885,1766,1,Soybean,Pest Attack,PEST_ATTACK,2026-04-17,2026-05-13,2025-06-15,8,44433,24.87,79.32,71.17,25,APPROVED
17,SURVEY-0000017,564,1123,1,Cotton,Pest Attack,PEST_ATTACK,2026-04-11,2026-05-13,2025-06-15,92,69652,7.34,25.45,61.5,78,SUBMITTED
18,SURVEY-0000018,1951,3945,4,Sugarcane,Pest Attack,ATIVRUSHTI,2026-04-13,2026-05-13,2025-06-15,6,23503,95.68,47.87,76.84,4,APPROVED
19,SURVEY-0000019,1634,3303,1,Tur,Flood Damage,FLOOD,2026-05-05,2026-05-13,2025-06-15,54,28752,85.02,83.6,86.69,12,FIELD_VERIFIED
20,SURVEY-0000020,1621,3276,3,Soybean,Flood Damage,ATIVRUSHTI,2026-03-29,2026-05-13,2025-06-15,58,65024,52.21,71.8,67.54,32,REJECTED
21,SURVEY-0000021,1942,3929,3,Sugarcane,Heavy Rainfall,FLOOD,2026-05-06,2026-05-13,2025-06-15,48,14673,28.55,24.65,97.59,16,SUBMITTED
22,SURVEY-0000022,1363,2749,2,Sugarcane,Pest Attack,FLOOD,2026-04-25,2026-05-13,2025-06-15,8,35651,93.8,35.1,75.93,16,FIELD_VERIFIED
23,SURVEY-0000023,1606,3247,2,Sugarcane,Heavy Rainfall,PEST_ATTACK,2026-05-08,2026-05-13,2025-06-15,93,58780,58.43,9.53,64.57,64,FIELD_VERIFIED
24,SURVEY-0000024,1178,2369,4,Bajra,Heavy Rainfall,ATIVRUSHTI,2026-04-20,2026-05-13,2025-06-15,65,63822,78.25,42.55,83.43,11,FIELD_VERIFIED
25,SURVEY-0000025,947,1896,3,Soybean,Drought,FLOOD,2026-04-11,2026-05-13,2025-06-15,8,89140,30.94,17.33,78.59,33,UNDER_REVIEW
26,SURVEY-0000026,1111,2231,2,Cotton,Heavy Rainfall,DROUGHT,2026-05-08,2026-05-13,2025-06-15,92,87278,59.7,17.66,96.41,85,UNDER_REVIEW
27,SURVEY-0000027,1132,2274,2,Cotton,Pest Attack,DROUGHT,2026-03-13,2026-05-13,2025-06-15,56,61652,95.07,50.22,61.1,19,UNDER_REVIEW
28,SURVEY-0000028,254,497,3,Bajra,Pest Attack,ATIVRUSHTI,2026-04-09,2026-05-13,2025-06-15,61,50761,18.37,53.75,77.84,34,APPROVED
29,SURVEY-0000029,813,1615,4,Bajra,Heavy Rainfall,ATIVRUSHTI,2026-02-17,2026-05-13,2025-06-15,37,57029,28.02,40.6,70.28,16,FIELD_VERIFIED
30,SURVEY-0000030,1747,3530,3,Soybean,Heavy Rainfall,ATIVRUSHTI,2026-02-18,2026-05-13,2025-06-15,65,64803,6.16,36.98,79.62,5,UNDER_REVIEW
31,SURVEY-0000031,1305,2627,2,Bajra,Drought,FLOOD,2026-03-16,2026-05-13,2025-06-15,84,31402,23.31,88.37,82.28,95,UNDER_REVIEW
32,SURVEY-0000032,1492,3009,2,Soybean,Heavy Rainfall,DROUGHT,2026-05-03,2026-05-13,2025-06-15,52,79872,50.12,60.16,93.3,26,FIELD_VERIFIED
33,SURVEY-0000033,907,1814,3,Bajra,Heavy Rainfall,DROUGHT,2026-02-26,2026-05-13,2025-06-15,35,19066,24.17,12.62,61.66,24,REJECTED
34,SURVEY-0000034,1816,3661,1,Tur,Pest Attack,PEST_ATTACK,2026-02-21,2026-05-13,2025-06-15,14,85638,10.95,14.65,95.99,21,REJECTED
35,SURVEY-0000035,1999,4043,1,Cotton,Drought,DROUGHT,2026-03-26,2026-05-13,2025-06-15,46,26412,34.98,27.99,69.21,19,UNDER_REVIEW
36,SURVEY-0000036,1123,2255,3,Cotton,Pest Attack,PEST_ATTACK,2026-04-28,2026-05-13,2025-06-15,29,41653,74.87,16.49,73.18,21,SUBMITTED
37,SURVEY-0000037,1050,2104,2,Tur,Flood Damage,FLOOD,2026-04-13,2026-05-13,2025-06-15,49,83362,77.47,19.74,91.73,19,APPROVED
38,SURVEY-0000038,1828,3686,4,Cotton,Drought,FLOOD,2026-04-11,2026-05-13,2025-06-15,38,39905,48.71,51.79,85.59,42,REJECTED
39,SURVEY-0000039,371,736,4,Tur,Pest Attack,DROUGHT,2026-04-02,2026-05-13,2025-06-15,8,92428,92.23,90.76,87.67,33,REJECTED
40,SURVEY-0000040,1385,2792,3,Sugarcane,Heavy Rainfall,ATIVRUSHTI,2026-03-19,2026-05-13,2025-06-15,52,39380,60.93,85.91,59.39,24,APPROVED
41,SURVEY-0000041,1969,3979,1,Tur,Flood Damage,DROUGHT,2026-02-27,2026-05-13,2025-06-15,28,19123,6.35,9.08,91.45,37,FIELD_VERIFIED
42,SURVEY-0000042,1459,2945,2,Tur,Heavy Rainfall,ATIVRUSHTI,2026-02-23,2026-05-13,2025-06-15,77,95951,21.67,39.2,64.54,84,SUBMITTED
43,SURVEY-0000043,70,129,1,Tur,Heavy Rainfall,FLOOD,2026-04-20,2026-05-13,2025-06-15,59,56489,36.47,58.6,86.11,44,REJECTED
44,SURVEY-0000044,1367,2755,3,Cotton,Heavy Rainfall,PEST_ATTACK,2026-03-14,2026-05-13,2025-06-15,33,98825,22.46,60.87,71.93,11,APPROVED
45,SURVEY-0000045,1256,2524,3,Bajra,Heavy Rainfall,ATIVRUSHTI,2026-03-01,2026-05-13,2025-06-15,65,15660,15.17,83.22,55.28,30,REJECTED
46,SURVEY-0000046,893,1781,3,Sugarcane,Flood Damage,DROUGHT,2026-03-25,2026-05-13,2025-06-15,56,80872,59.4,35.22,86.65,10,REJECTED
47,SURVEY-0000047,1736,3506,3,Sugarcane,Heavy Rainfall,DROUGHT,2026-03-25,2026-05-13,2025-06-15,64,89279,94.96,75.02,93.58,4,SUBMITTED
48,SURVEY-0000048,138,252,3,Soybean,Drought,DROUGHT,2026-02-25,2026-05-13,2025-06-15,39,12980,59.75,61.83,88.2,19,APPROVED
49,SURVEY-0000049,1843,3723,2,Cotton,Pest Attack,DROUGHT,2026-05-07,2026-05-13,2025-06-15,30,24358,91.79,20.85,96.17,7,APPROVED
50,SURVEY-0000050,650,1290,4,Sugarcane,Drought,PEST_ATTACK,2026-04-11,2026-05-13,2025-06-15,5,83423,43.67,35.6,98.26,26,REJECTED
51,SURVEY-0000051,341,676,3,Soybean,Heavy Rainfall,DROUGHT,2026-02-22,2026-05-13,2025-06-15,94,18113,75.23,60.66,84.61,94,UNDER_REVIEW
52,SURVEY-0000052,938,1877,4,Cotton,Flood Damage,FLOOD,2026-03-18,2026-05-13,2025-06-15,9,18774,96.7,75.25,75.9,40,SUBMITTED
53,SURVEY-0000053,1558,3143,4,Sugarcane,Drought,ATIVRUSHTI,2026-03-30,2026-05-13,2025-06-15,77,39607,73.18,76.48,57.37,89,UNDER_REVIEW
54,SURVEY-0000054,932,1863,2,Soybean,Pest Attack,DROUGHT,2026-04-27,2026-05-13,2025-06-15,42,90779,27.5,10.93,70.12,25,APPROVED
55,SURVEY-0000055,1076,2154,3,Cotton,Heavy Rainfall,ATIVRUSHTI,2026-05-11,2026-05-13,2025-06-15,13,36909,36.46,21.48,89.58,36,APPROVED
56,SURVEY-0000056,1044,2087,4,Tur,Flood Damage,PEST_ATTACK,2026-04-13,2026-05-13,2025-06-15,74,68254,23.36,83.92,89.65,96,FIELD_VERIFIED
57,SURVEY-0000057,52,94,3,Tur,Flood Damage,PEST_ATTACK,2026-02-13,2026-05-13,2025-06-15,9,48362,79.15,36.71,88.1,37,APPROVED
58,SURVEY-0000058,748,1482,2,Soybean,Heavy Rainfall,DROUGHT,2026-05-12,2026-05-13,2025-06-15,5,70615,12.19,70.34,68.84,20,UNDER_REVIEW
59,SURVEY-0000059,1330,2680,4,Bajra,Pest Attack,DROUGHT,2026-02-15,2026-05-13,2025-06-15,47,13255,27.82,32.19,74.46,40,APPROVED
60,SURVEY-0000060,1030,2053,1,Cotton,Drought,ATIVRUSHTI,2026-02-12,2026-05-13,2025-06-15,30,33607,70.28,32.76,93.48,32,FIELD_VERIFIED
61,SURVEY-0000061,1948,3939,2,Soybean,Drought,FLOOD,2026-05-10,2026-05-13,2025-06-15,86,74388,20.3,12.91,82.43,73,REJECTED
62,SURVEY-0000062,910,1821,2,Tur,Heavy Rainfall,DROUGHT,2026-05-04,2026-05-13,2025-06-15,52,70766,76.49,54.72,56.28,24,FIELD_VERIFIED
63,SURVEY-0000063,1451,2931,2,Tur,Heavy Rainfall,FLOOD,2026-04-20,2026-05-13,2025-06-15,40,88282,23.57,66.54,94.29,18,SUBMITTED
64,SURVEY-0000064,1369,2758,4,Tur,Flood Damage,DROUGHT,2026-02-12,2026-05-13,2025-06-15,23,12675,46.01,47.76,79.82,23,FIELD_VERIFIED
65,SURVEY-0000065,523,1042,1,Cotton,Flood Damage,PEST_ATTACK,2026-04-19,2026-05-13,2025-06-15,41,86127,68.86,28.9,75.33,21,UNDER_REVIEW
66,SURVEY-0000066,1768,3570,3,Tur,Drought,ATIVRUSHTI,2026-04-19,2026-05-13,2025-06-15,79,28272,39.22,11.26,66.34,87,REJECTED
67,SURVEY-0000067,1181,2375,4,Soybean,Pest Attack,FLOOD,2026-03-04,2026-05-13,2025-06-15,23,57406,21.49,78.35,62.21,17,APPROVED
68,SURVEY-0000068,1151,2314,3,Soybean,Pest Attack,PEST_ATTACK,2026-04-19,2026-05-13,2025-06-15,85,19870,90.79,11.0,96.61,62,SUBMITTED
69,SURVEY-0000069,1975,3991,4,Bajra,Flood Damage,PEST_ATTACK,2026-03-08,2026-05-13,2025-06-15,45,22955,45.22,65.69,75.16,39,FIELD_VERIFIED
70,SURVEY-0000070,55,99,3,Bajra,Drought,FLOOD,2026-05-05,2026-05-13,2025-06-15,18,75004,7.17,53.12,73.9,36,APPROVED
71,SURVEY-0000071,796,1582,1,Bajra,Drought,FLOOD,2026-02-21,2026-05-13,2025-06-15,30,29337,27.7,21.59,75.68,26,REJECTED
72,SURVEY-0000072,1446,2919,2,Sugarcane,Pest Attack,FLOOD,2026-03-16,2026-05-13,2025-06-15,47,34156,9.76,76.63,70.81,19,APPROVED
73,SURVEY-0000073,213,420,3,Bajra,Flood Damage,ATIVRUSHTI,2026-02-27,2026-05-13,2025-06-15,19,61828,13.22,82.88,77.15,29,SUBMITTED
74,SURVEY-0000074,338,670,2,Soybean,Flood Damage,ATIVRUSHTI,2026-04-19,2026-05-13,2025-06-15,14,45411,67.97,5.93,77.17,3,APPROVED
75,SURVEY-0000075,1016,2024,2,Cotton,Flood Damage,DROUGHT,2026-03-09,2026-05-13,2025-06-15,37,26042,8.84,19.95,63.66,40,UNDER_REVIEW
76,SURVEY-0000076,1897,3830,3,Bajra,Heavy Rainfall,ATIVRUSHTI,2026-02-19,2026-05-13,2025-06-15,12,97268,61.68,52.1,95.49,19,SUBMITTED
77,SURVEY-0000077,1073,2146,1,Bajra,Flood Damage,PEST_ATTACK,2026-03-28,2026-05-13,2025-06-15,44,43808,33.49,44.02,70.38,3,SUBMITTED
78,SURVEY-0000078,315,620,1,Sugarcane,Flood Damage,FLOOD,2026-03-27,2026-05-13,2025-06-15,86,44675,73.92,35.28,69.65,60,SUBMITTED
79,SURVEY-0000079,1542,3112,1,Tur,Heavy Rainfall,DROUGHT,2026-04-10,2026-05-13,2025-06-15,56,96443,81.73,5.17,55.47,7,FIELD_VERIFIED
80,SURVEY-0000080,317,624,3,Cotton,Drought,DROUGHT,2026-02-21,2026-05-13,2025-06-15,32,47866,29.02,20.64,90.77,38,SUBMITTED
81,SURVEY-0000081,303,592,2,Tur,Pest Attack,PEST_ATTACK,2026-05-11,2026-05-13,2025-06-15,39,49776,53.78,83.35,70.7,8,FIELD_VERIFIED
82,SURVEY-0000082,849,1687,4,Sugarcane,Drought,DROUGHT,2026-02-12,2026-05-13,2025-06-15,35,45996,41.83,36.22,85.79,16,SUBMITTED
83,SURVEY-0000083,558,1110,1,Tur,Flood Damage,FLOOD,2026-03-08,2026-05-13,2025-06-15,7,34807,26.76,93.87,63.0,42,UNDER_REVIEW
84,SURVEY-0000084,1443,2913,2,Bajra,Pest Attack,PEST_ATTACK,2026-03-05,2026-05-13,2025-06-15,64,73878,40.03,46.15,81.53,45,FIELD_VERIFIED
85,SURVEY-0000085,173,332,1,Tur,Pest Attack,PEST_ATTACK,2026-04-27,2026-05-13,2025-06-15,10,70274,77.71,77.89,82.03,13,APPROVED
86,SURVEY-0000086,229,450,4,Sugarcane,Drought,FLOOD,2026-03-16,2026-05-13,2025-06-15,15,66176,82.55,51.06,78.53,34,SUBMITTED
87,SURVEY-0000087,1028,2051,2,Soybean,Heavy Rainfall,DROUGHT,2026-02-18,2026-05-13,2025-06-15,14,17240,24.7,91.66,84.16,26,APPROVED
88,SURVEY-0000088,202,395,4,Cotton,Pest Attack,ATIVRUSHTI,2026-04-22,2026-05-13,2025-06-15,55,79984,43.93,7.28,89.19,7,UNDER_REVIEW
89,SURVEY-0000089,1297,2608,4,Cotton,Heavy Rainfall,ATIVRUSHTI,2026-04-22,2026-05-13,2025-06-15,43,33815,36.53,91.26,59.96,33,APPROVED
90,SURVEY-0000090,188,364,2,Soybean,Flood Damage,ATIVRUSHTI,2026-02-24,2026-05-13,2025-06-15,5,58669,83.59,75.46,76.05,4,FIELD_VERIFIED
91,SURVEY-0000091,1394,2812,1,Soybean,Drought,PEST_ATTACK,2026-02-26,2026-05-13,2025-06-15,54,63569,55.96,25.04,56.21,12,UNDER_REVIEW
92,SURVEY-0000092,1040,2077,1,Cotton,Drought,PEST_ATTACK,2026-03-18,2026-05-13,2025-06-15,89,90077,43.57,39.2,57.53,73,SUBMITTED
93,SURVEY-0000093,87,159,2,Cotton,Heavy Rainfall,PEST_ATTACK,2026-03-15,2026-05-13,2025-06-15,7,77200,62.38,33.65,81.33,11,REJECTED
94,SURVEY-0000094,485,968,1,Sugarcane,Heavy Rainfall,ATIVRUSHTI,2026-03-06,2026-05-13,2025-06-15,19,31135,53.47,16.02,69.38,17,REJECTED
95,SURVEY-0000095,746,1476,4,Sugarcane,Drought,ATIVRUSHTI,2026-05-12,2026-05-13,2025-06-15,11,50205,98.53,74.33,60.91,29,APPROVED
96,SURVEY-0000096,339,674,1,Sugarcane,Flood Damage,ATIVRUSHTI,2026-04-11,2026-05-13,2025-06-15,47,83437,90.15,12.15,96.86,29,APPROVED
97,SURVEY-0000097,989,1973,4,Soybean,Heavy Rainfall,PEST_ATTACK,2026-02-20,2026-05-13,2025-06-15,15,71679,21.32,25.82,75.82,17,FIELD_VERIFIED
98,SURVEY-0000098,532,1060,2,Cotton,Flood Damage,DROUGHT,2026-04-19,2026-05-13,2025-06-15,47,47860,44.41,53.79,84.99,11,REJECTED
99,SURVEY-0000099,1314,2647,1,Tur,Flood Damage,DROUGHT,2026-03-23,2026-05-13,2025-06-15,51,78894,44.77,21.83,69.95,24,APPROVED
100,SURVEY-0000100,806,1604,2,Sugarcane,Flood Damage,DROUGHT,2026-04-23,2026-05-13,2025-06-15,15,6527,86.89,29.92,83.17,25,SUBMITTED
101,SURVEY-0000101,73,134,2,Bajra,Flood Damage,PEST_ATTACK,2026-04-30,2026-05-13,2025-06-15,36,56302,83.81,87.38,67.67,25,SUBMITTED
102,SURVEY-0000102,1539,3105,4,Cotton,Heavy Rainfall,ATIVRUSHTI,2026-03-13,2026-05-13,2025-06-15,45,88648,85.66,12.78,73.18,10,APPROVED
103,SURVEY-0000103,582,1153,3,Soybean,Pest Attack,ATIVRUSHTI,2026-04-11,2026-05-13,2025-06-15,32,13313,55.06,34.71,87.93,13,APPROVED
104,SURVEY-0000104,618,1219,3,Tur,Heavy Rainfall,ATIVRUSHTI,2026-05-04,2026-05-13,2025-06-15,51,30582,51.12,11.92,58.4,34,REJECTED
105,SURVEY-0000105,230,453,3,Cotton,Flood Damage,FLOOD,2026-02-28,2026-05-13,2025-06-15,87,18745,21.53,38.7,58.56,79,APPROVED
106,SURVEY-0000106,328,648,4,Soybean,Pest Attack,PEST_ATTACK,2026-03-31,2026-05-13,2025-06-15,79,14259,16.2,28.77,85.91,82,REJECTED
107,SURVEY-0000107,1873,3783,2,Bajra,Drought,PEST_ATTACK,2026-03-21,2026-05-13,2025-06-15,30,33472,82.34,36.61,55.38,40,REJECTED
108,SURVEY-0000108,1667,3366,3,Cotton,Heavy Rainfall,FLOOD,2026-04-27,2026-05-13,2025-06-15,30,18875,79.6,53.89,72.68,16,REJECTED
109,SURVEY-0000109,1360,2745,4,Cotton,Drought,FLOOD,2026-03-07,2026-05-13,2025-06-15,57,68440,44.69,36.97,68.97,9,APPROVED
110,SURVEY-0000110,1196,2400,4,Soybean,Pest Attack,ATIVRUSHTI,2026-04-29,2026-05-13,2025-06-15,14,63630,28.79,17.05,82.87,41,REJECTED
111,SURVEY-0000111,820,1631,3,Tur,Drought,ATIVRUSHTI,2026-05-04,2026-05-13,2025-06-15,27,68196,82.02,77.54,66.39,25,APPROVED
112,SURVEY-0000112,1373,2767,4,Bajra,Flood Damage,DROUGHT,2026-03-06,2026-05-13,2025-06-15,86,72380,26.46,31.63,98.84,84,APPROVED
113,SURVEY-0000113,834,1655,3,Soybean,Drought,ATIVRUSHTI,2026-03-11,2026-05-13,2025-06-15,58,99685,12.36,46.58,92.71,15,APPROVED
114,SURVEY-0000114,1647,3325,2,Sugarcane,Flood Damage,ATIVRUSHTI,2026-04-03,2026-05-13,2025-06-15,24,38701,48.93,80.73,59.99,5,APPROVED
115,SURVEY-0000115,771,1532,2,Tur,Flood Damage,FLOOD,2026-03-19,2026-05-13,2025-06-15,26,68495,21.99,44.48,55.58,8,UNDER_REVIEW
116,SURVEY-0000116,1935,3911,4,Soybean,Heavy Rainfall,DROUGHT,2026-04-04,2026-05-13,2025-06-15,61,38657,81.62,30.64,97.79,27,UNDER_REVIEW
117,SURVEY-0000117,1772,3579,3,Cotton,Heavy Rainfall,FLOOD,2026-03-11,2026-05-13,2025-06-15,24,5161,7.64,7.17,65.25,27,UNDER_REVIEW
118,SURVEY-0000118,1471,2967,3,Bajra,Drought,DROUGHT,2026-04-23,2026-05-13,2025-06-15,77,72911,64.74,63.3,90.46,68,REJECTED
119,SURVEY-0000119,1395,2814,2,Bajra,Drought,DROUGHT,2026-05-01,2026-05-13,2025-06-15,26,44594,73.51,32.44,88.79,1,FIELD_VERIFIED
120,SURVEY-0000120,1094,2187,4,Tur,Heavy Rainfall,FLOOD,2026-03-18,2026-05-13,2025-06-15,22,86763,24.08,28.63,65.2,39,SUBMITTED
121,SURVEY-0000121,1173,2355,2,Tur,Heavy Rainfall,DROUGHT,2026-05-02,2026-05-13,2025-06-15,25,95465,78.43,51.34,98.0,18,SUBMITTED
122,SURVEY-0000122,323,638,4,Tur,Heavy Rainfall,FLOOD,2026-03-17,2026-05-13,2025-06-15,12,62106,47.78,72.18,90.58,29,APPROVED
123,SURVEY-0000123,577,1143,1,Sugarcane,Heavy Rainfall,ATIVRUSHTI,2026-04-28,2026-05-13,2025-06-15,60,54377,60.63,26.23,84.84,34,UNDER_REVIEW
124,SURVEY-0000124,575,1141,1,Soybean,Pest Attack,DROUGHT,2026-02-19,2026-05-13,2025-06-15,45,60130,6.2,16.07,61.95,11,APPROVED
125,SURVEY-0000125,75,140,1,Tur,Pest Attack,ATIVRUSHTI,2026-03-23,2026-05-13,2025-06-15,29,82503,92.44,25.3,91.86,1,REJECTED
126,SURVEY-0000126,606,1193,1,Sugarcane,Drought,DROUGHT,2026-04-10,2026-05-13,2025-06-15,32,11653,39.75,7.23,72.01,40,FIELD_VERIFIED
127,SURVEY-0000127,523,1041,1,Tur,Flood Damage,DROUGHT,2026-03-14,2026-05-13,2025-06-15,55,16521,99.17,80.66,98.26,9,FIELD_VERIFIED
128,SURVEY-0000128,272,532,2,Tur,Flood Damage,ATIVRUSHTI,2026-05-08,2026-05-13,2025-06-15,64,77334,74.43,42.22,93.69,28,UNDER_REVIEW
129,SURVEY-0000129,1342,2704,2,Soybean,Heavy Rainfall,PEST_ATTACK,2026-02-17,2026-05-13,2025-06-15,26,76905,90.22,8.13,85.02,31,APPROVED
130,SURVEY-0000130,1491,3008,4,Bajra,Heavy Rainfall,PEST_ATTACK,2026-02-12,2026-05-13,2025-06-15,88,10380,43.84,67.45,59.4,83,APPROVED
131,SURVEY-0000131,1744,3522,2,Cotton,Flood Damage,DROUGHT,2026-03-18,2026-05-13,2025-06-15,25,58584,16.82,54.14,79.66,22,FIELD_VERIFIED
132,SURVEY-0000132,112,206,4,Sugarcane,Heavy Rainfall,ATIVRUSHTI,2026-03-06,2026-05-13,2025-06-15,9,66096,48.28,90.31,55.21,36,REJECTED
133,SURVEY-0000133,1614,3263,4,Soybean,Pest Attack,ATIVRUSHTI,2026-03-05,2026-05-13,2025-06-15,37,5691,26.83,33.01,76.01,38,REJECTED
134,SURVEY-0000134,437,872,3,Cotton,Drought,DROUGHT,2026-03-31,2026-05-13,2025-06-15,42,70178,58.68,60.55,90.15,20,REJECTED
135,SURVEY-0000135,314,618,3,Tur,Pest Attack,ATIVRUSHTI,2026-03-25,2026-05-13,2025-06-15,61,70629,37.6,49.24,90.92,40,SUBMITTED
136,SURVEY-0000136,1071,2142,3,Cotton,Pest Attack,PEST_ATTACK,2026-03-13,2026-05-13,2025-06-15,38,18288,76.49,31.68,76.61,8,REJECTED
137,SURVEY-0000137,1472,2970,1,Sugarcane,Flood Damage,FLOOD,2026-03-26,2026-05-13,2025-06-15,74,72499,36.68,90.78,63.32,93,FIELD_VERIFIED
138,SURVEY-0000138,1762,3560,3,Soybean,Heavy Rainfall,FLOOD,2026-02-27,2026-05-13,2025-06-15,86,59849,19.79,75.03,94.89,71,APPROVED
139,SURVEY-0000139,1239,2484,2,Tur,Pest Attack,ATIVRUSHTI,2026-02-22,2026-05-13,2025-06-15,63,7212,80.45,29.8,67.64,19,FIELD_VERIFIED
140,SURVEY-0000140,981,1955,3,Cotton,Pest Attack,PEST_ATTACK,2026-03-31,2026-05-13,2025-06-15,6,51817,45.86,33.73,83.88,12,UNDER_REVIEW
141,SURVEY-0000141,218,430,4,Tur,Pest Attack,DROUGHT,2026-04-23,2026-05-13,2025-06-15,20,18738,99.56,17.33,67.47,41,SUBMITTED
142,SURVEY-0000142,1908,3852,3,Soybean,Heavy Rainfall,PEST_ATTACK,2026-04-06,2026-05-13,2025-06-15,52,30005,81.77,81.08,85.97,24,REJECTED
143,SURVEY-0000143,883,1762,3,Soybean,Heavy Rainfall,ATIVRUSHTI,2026-04-27,2026-05-13,2025-06-15,86,63344,13.01,79.08,92.53,87,REJECTED
144,SURVEY-0000144,520,1035,4,Tur,Flood Damage,FLOOD,2026-04-20,2026-05-13,2025-06-15,20,30986,23.24,44.06,67.06,13,SUBMITTED
145,SURVEY-0000145,1803,3637,1,Soybean,Heavy Rainfall,ATIVRUSHTI,2026-05-01,2026-05-13,2025-06-15,57,69100,23.76,88.36,94.1,16,SUBMITTED
146,SURVEY-0000146,955,1909,1,Tur,Drought,DROUGHT,2026-03-22,2026-05-13,2025-06-15,71,69232,93.7,49.43,88.76,91,UNDER_REVIEW
147,SURVEY-0000147,206,403,4,Bajra,Pest Attack,PEST_ATTACK,2026-03-24,2026-05-13,2025-06-15,89,57387,24.53,50.98,98.79,60,FIELD_VERIFIED
148,SURVEY-0000148,1752,3538,1,Bajra,Drought,DROUGHT,2026-03-07,2026-05-13,2025-06-15,34,32577,5.54,65.32,96.42,31,UNDER_REVIEW
149,SURVEY-0000149,382,762,3,Tur,Heavy Rainfall,FLOOD,2026-02-20,2026-05-13,2025-06-15,38,50813,94.72,61.81,78.23,30,APPROVED
150,SURVEY-0000150,1674,3380,1,Tur,Flood Damage,FLOOD,2026-03-12,2026-05-13,2025-06-15,16,72137,80.64,15.49,80.29,12,FIELD_VERIFIED
151,SURVEY-0000151,1036,2069,1,Tur,Pest Attack,DROUGHT,2026-04-12,2026-05-13,2025-06-15,22,95246,65.8,11.45,57.49,44,APPROVED
152,SURVEY-0000152,297,582,3,Bajra,Flood Damage,DROUGHT,2026-04-07,2026-05-13,2025-06-15,21,18889,54.4,53.45,57.46,4,SUBMITTED
153,SURVEY-0000153,1041,2079,2,Soybean,Pest Attack,FLOOD,2026-03-05,2026-05-13,2025-06-15,51,95292,75.26,16.52,77.33,10,UNDER_REVIEW
154,SURVEY-0000154,148,276,2,Bajra,Pest Attack,DROUGHT,2026-04-15,2026-05-13,2025-06-15,9,41821,39.46,93.3,56.76,14,APPROVED
155,SURVEY-0000155,1261,2536,3,Bajra,Pest Attack,ATIVRUSHTI,2026-02-22,2026-05-13,2025-06-15,21,51767,54.27,88.37,98.08,4,APPROVED
