approval_id,survey_id,approved_by,role,approval_level,status,remarks,modified_loss_percentage
159,63,1,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,41
160,63,77,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,24
161,63,34,TALUKA_AUTHORITY,3,APPROVED,Need re-survey,27
162,63,17,TALUKA_AUTHORITY,4,UNDER_REVIEW,Geo-fence passed,58
163,64,21,TALATHI,1,APPROVED,Need re-survey,65
164,64,73,DISTRICT_AUTHORITY,2,REJECTED,Need re-survey,57
165,64,36,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,8
166,64,16,TALATHI,4,UNDER_REVIEW,Approved after verification,41
167,65,34,TALATHI,1,REJECTED,Approved after verification,14
168,66,13,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,77
169,66,58,DISTRICT_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,65
170,67,24,TALUKA_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,21
171,67,35,TALATHI,2,REJECTED,Need re-survey,69
172,67,87,DISTRICT_AUTHORITY,3,REJECTED,NDVI mismatch,9
173,68,44,DISTRICT_AUTHORITY,1,REJECTED,NDVI mismatch,11
174,68,4,TALATHI,2,REJECTED,Approved after verification,51
175,68,86,TALATHI,3,APPROVED,Approved after verification,61
176,68,70,TALUKA_AUTHORITY,4,APPROVED,Approved after verification,33
177,69,74,TALATHI,1,REJECTED,Need re-survey,41
178,70,63,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,28
179,70,62,TALATHI,2,UNDER_REVIEW,NDVI mismatch,7
180,70,23,TALUKA_AUTHORITY,3,UNDER_REVIEW,Approved after verification,94
181,70,79,TALATHI,4,REJECTED,Geo-fence passed,31
182,71,1,TALUKA_AUTHORITY,1,APPROVED,NDVI mismatch,33
183,71,36,TALUKA_AUTHORITY,2,REJECTED,Approved after verification,93
184,71,34,DISTRICT_AUTHORITY,3,APPROVED,Geo-fence passed,89
185,72,3,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,38
186,72,25,TALATHI,2,REJECTED,Geo-fence passed,10
187,72,37,DISTRICT_AUTHORITY,3,APPROVED,Geo-fence passed,8
188,73,11,TALATHI,1,REJECTED,Need re-survey,10
189,74,14,DISTRICT_AUTHORITY,1,REJECTED,Need re-survey,23
190,74,73,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,18
191,75,3,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,29
192,75,85,TALUKA_AUTHORITY,2,UNDER_REVIEW,Approved after verification,46
193,75,1,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Approved after verification,73
194,76,86,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,58
195,76,11,TALATHI,2,APPROVED,Need re-survey,56
196,77,63,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,53
197,77,81,TALATHI,2,APPROVED,Geo-fence passed,31
198,78,2,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,88
199,78,81,TALATHI,2,UNDER_REVIEW,NDVI mismatch,47
200,78,19,DISTRICT_AUTHORITY,3,REJECTED,Need re-survey,51
201,79,31,TALUKA_AUTHORITY,1,REJECTED,Need re-survey,32
202,80,63,TALUKA_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,65
203,81,20,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,70
204,81,36,TALUKA_AUTHORITY,2,REJECTED,Need re-survey,40
205,81,11,TALATHI,3,UNDER_REVIEW,Geo-fence passed,37
206,81,40,DISTRICT_AUTHORITY,4,REJECTED,Approved after verification,54
207,82,57,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,48
208,82,14,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,31
209,82,33,DISTRICT_AUTHORITY,3,REJECTED,Geo-fence passed,24
210,83,81,TALATHI,1,UNDER_REVIEW,Approved after verification,49
211,84,9,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,53
212,84,72,TALATHI,2,UNDER_REVIEW,Need re-survey,12
213,84,28,TALUKA_AUTHORITY,3,APPROVED,Approved after verification,45
214,85,43,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,61
215,85,90,TALATHI,2,UNDER_REVIEW,NDVI mismatch,48
216,86,63,TALATHI,1,UNDER_REVIEW,NDVI mismatch,46
217,86,24,TALATHI,2,APPROVED,Approved after verification,77
218,87,25,TALATHI,1,REJECTED,NDVI mismatch,73
219,87,2,TALUKA_AUTHORITY,2,REJECTED,Need re-survey,20
220,87,45,TALATHI,3,REJECTED,Approved after verification,43
221,88,58,DISTRICT_AUTHORITY,1,REJECTED,Geo-fence passed,24
222,88,21,DISTRICT_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,35
223,89,76,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,48
224,90,54,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,6
225,90,40,TALUKA_AUTHORITY,2,APPROVED,Approved after verification,32
226,90,1,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Approved after verification,48
227,91,12,TALATHI,1,APPROVED,Geo-fence passed,19
228,92,53,DISTRICT_AUTHORITY,1,REJECTED,Approved after verification,67
229,93,90,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,17
230,93,11,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Approved after verification,41
231,93,36,TALATHI,3,REJECTED,Need re-survey,53
232,94,79,DISTRICT_AUTHORITY,1,REJECTED,Approved after verification,67
233,94,56,TALUKA_AUTHORITY,2,APPROVED,NDVI mismatch,53
234,94,2,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,52
235,95,42,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,24
236,95,49,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,69
237,95,1,DISTRICT_AUTHORITY,3,REJECTED,Approved after verification,21
238,95,14,TALATHI,4,APPROVED,NDVI mismatch,71
239,96,41,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,48
240,96,32,TALUKA_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,44
241,97,61,TALATHI,1,APPROVED,NDVI mismatch,25
242,97,67,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Approved after verification,22
243,97,59,TALUKA_AUTHORITY,3,UNDER_REVIEW,Need re-survey,56
244,98,26,DISTRICT_AUTHORITY,1,REJECTED,NDVI mismatch,40
245,99,78,TALUKA_AUTHORITY,1,APPROVED,Need re-survey,71
246,99,63,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,20
247,99,64,TALATHI,3,REJECTED,Approved after verification,30
248,100,1,DISTRICT_AUTHORITY,1,REJECTED,Approved after verification,28
249,100,88,TALATHI,2,REJECTED,Need re-survey,36
250,100,24,DISTRICT_AUTHORITY,3,APPROVED,NDVI mismatch,66
251,100,26,TALATHI,4,REJECTED,NDVI mismatch,52
252,101,35,TALATHI,1,APPROVED,NDVI mismatch,60
253,101,54,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,74
254,101,48,DISTRICT_AUTHORITY,3,APPROVED,NDVI mismatch,38
255,101,19,DISTRICT_AUTHORITY,4,REJECTED,Approved after verification,85
256,102,20,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,28
257,102,20,DISTRICT_AUTHORITY,2,REJECTED,Approved after verification,70
258,103,27,DISTRICT_AUTHORITY,1,REJECTED,Geo-fence passed,20
259,104,56,TALUKA_AUTHORITY,1,UNDER_REVIEW,Approved after verification,93
260,104,51,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,24
261,105,11,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,18
262,105,64,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,38
263,106,47,DISTRICT_AUTHORITY,1,REJECTED,Geo-fence passed,73
264,106,75,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,45
265,107,15,TALUKA_AUTHORITY,1,UNDER_REVIEW,Need re-survey,41
266,107,69,DISTRICT_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,37
267,108,71,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,33
268,109,89,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,30
269,110,66,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,20
270,111,40,DISTRICT_AUTHORITY,1,APPROVED,NDVI mismatch,46
271,111,89,TALATHI,2,REJECTED,Approved after verification,6
272,112,85,TALUKA_AUTHORITY,1,REJECTED,Approved after verification,43
273,113,7,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,56
274,113,64,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,32
275,114,40,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Need re-survey,82
276,115,41,TALATHI,1,UNDER_REVIEW,Approved after verification,18
277,116,38,TALUKA_AUTHORITY,1,APPROVED,Need re-survey,66
278,116,12,TALATHI,2,REJECTED,Need re-survey,58
279,116,50,TALUKA_AUTHORITY,3,UNDER_REVIEW,Geo-fence passed,8
280,117,70,TALATHI,1,UNDER_REVIEW,Approved after verification,61
281,117,66,DISTRICT_AUTHORITY,2,REJECTED,NDVI mismatch,42
282,118,80,TALATHI,1,REJECTED,Need re-survey,68
283,119,7,TALATHI,1,UNDER_REVIEW,Need re-survey,50
284,119,88,TALUKA_AUTHORITY,2,REJECTED,Geo-fence passed,78
285,119,13,TALATHI,3,REJECTED,Need re-survey,93
286,120,19,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,90
287,120,15,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,63
288,120,64,TALUKA_AUTHORITY,3,REJECTED,Need re-survey,26
289,120,35,TALATHI,4,UNDER_REVIEW,Geo-fence passed,52
290,121,61,DISTRICT_AUTHORITY,1,APPROVED,Approved after verification,73
291,121,40,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,65
292,122,39,TALATHI,1,UNDER_REVIEW,Approved after verification,80
293,122,58,TALATHI,2,APPROVED,NDVI mismatch,12
294,122,82,TALUKA_AUTHORITY,3,APPROVED,Approved after verification,82
295,122,10,DISTRICT_AUTHORITY,4,APPROVED,NDVI mismatch,76
296,123,81,TALATHI,1,REJECTED,Need re-survey,84
297,124,5,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,43
298,125,81,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,70
299,125,35,TALATHI,2,REJECTED,Geo-fence passed,39
300,126,24,TALATHI,1,REJECTED,NDVI mismatch,94
301,127,62,DISTRICT_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,10
302,127,17,TALUKA_AUTHORITY,2,UNDER_REVIEW,NDVI mismatch,20
303,127,64,TALUKA_AUTHORITY,3,REJECTED,NDVI mismatch,73
304,128,87,DISTRICT_AUTHORITY,1,REJECTED,Approved after verification,51
305,128,51,DISTRICT_AUTHORITY,2,REJECTED,Geo-fence passed,61
306,128,63,TALUKA_AUTHORITY,3,UNDER_REVIEW,Need re-survey,34
307,128,45,TALUKA_AUTHORITY,4,UNDER_REVIEW,NDVI mismatch,67
308,129,29,TALATHI,1,APPROVED,Need re-survey,93
309,129,45,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,24
310,129,78,TALATHI,3,APPROVED,NDVI mismatch,93
311,130,13,TALUKA_AUTHORITY,1,UNDER_REVIEW,Need re-survey,42
312,130,85,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,80
313,130,20,TALATHI,3,UNDER_REVIEW,Approved after verification,91
314,130,13,TALATHI,4,APPROVED,Approved after verification,74
315,131,59,TALATHI,1,REJECTED,Approved after verification,46
316,131,37,TALATHI,2,UNDER_REVIEW,Approved after verification,65
317,131,6,TALUKA_AUTHORITY,3,APPROVED,Need re-survey,40
318,131,46,TALUKA_AUTHORITY,4,REJECTED,Need re-survey,26
319,132,69,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,34
320,132,50,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,87
321,132,49,DISTRICT_AUTHORITY,3,UNDER_REVIEW,Approved after verification,33
322,133,7,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,81
323,133,89,DISTRICT_AUTHORITY,2,APPROVED,Need re-survey,23
324,133,85,TALUKA_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,28
325,133,4,TALATHI,4,REJECTED,Geo-fence passed,11
326,134,40,TALATHI,1,REJECTED,Geo-fence passed,61
327,134,62,TALUKA_AUTHORITY,2,REJECTED,Approved after verification,40
328,134,3,TALUKA_AUTHORITY,3,APPROVED,Approved after verification,15
329,135,68,TALUKA_AUTHORITY,1,APPROVED,Need re-survey,90
330,135,17,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Need re-survey,87
331,135,72,DISTRICT_AUTHORITY,3,REJECTED,Need re-survey,59
332,136,84,TALATHI,1,REJECTED,Geo-fence passed,27
333,136,40,TALUKA_AUTHORITY,2,APPROVED,Need re-survey,34
334,136,68,TALUKA_AUTHORITY,3,UNDER_REVIEW,Need re-survey,50
335,136,10,DISTRICT_AUTHORITY,4,APPROVED,NDVI mismatch,15
336,137,14,TALATHI,1,APPROVED,Approved after verification,86
337,137,73,TALATHI,2,REJECTED,NDVI mismatch,95
338,138,84,TALATHI,1,APPROVED,Need re-survey,37
339,138,35,TALATHI,2,APPROVED,Geo-fence passed,80
340,139,45,TALATHI,1,REJECTED,Geo-fence passed,12
341,139,85,DISTRICT_AUTHORITY,2,APPROVED,Approved after verification,93
342,139,22,TALATHI,3,APPROVED,NDVI mismatch,62
343,140,2,TALUKA_AUTHORITY,1,UNDER_REVIEW,NDVI mismatch,59
344,140,38,DISTRICT_AUTHORITY,2,REJECTED,Geo-fence passed,66
345,140,69,DISTRICT_AUTHORITY,3,UNDER_REVIEW,NDVI mismatch,51
346,141,53,TALUKA_AUTHORITY,1,APPROVED,Need re-survey,82
347,142,90,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Geo-fence passed,27
348,142,88,DISTRICT_AUTHORITY,2,UNDER_REVIEW,Approved after verification,33
349,143,33,TALUKA_AUTHORITY,1,REJECTED,Geo-fence passed,55
350,143,58,TALUKA_AUTHORITY,2,APPROVED,Approved after verification,66
351,143,43,TALATHI,3,REJECTED,Approved after verification,22
352,143,1,TALATHI,4,APPROVED,NDVI mismatch,52
353,144,7,TALUKA_AUTHORITY,1,UNDER_REVIEW,Approved after verification,57
354,144,60,TALATHI,2,REJECTED,Geo-fence passed,57
355,145,20,TALATHI,1,APPROVED,Need re-survey,37
356,145,86,TALATHI,2,REJECTED,Approved after verification,53
357,145,27,TALUKA_AUTHORITY,3,REJECTED,Need re-survey,18
358,146,9,TALUKA_AUTHORITY,1,APPROVED,Geo-fence passed,32
359,146,2,DISTRICT_AUTHORITY,2,APPROVED,Approved after verification,19
360,146,61,TALUKA_AUTHORITY,3,UNDER_REVIEW,Geo-fence passed,90
361,147,22,TALATHI,1,UNDER_REVIEW,Need re-survey,48
362,148,82,DISTRICT_AUTHORITY,1,UNDER_REVIEW,Approved after verification,82
363,148,70,TALUKA_AUTHORITY,2,UNDER_REVIEW,Geo-fence passed,39
364,148,74,DISTRICT_AUTHORITY,3,APPROVED,Need re-survey,54
365,148,35,TALUKA_AUTHORITY,4,UNDER_REVIEW,NDVI mismatch,82
366,149,22,TALUKA_AUTHORITY,1,REJECTED,Need re-survey,51
367,149,5,TALUKA_AUTHORITY,2,UNDER_REVIEW,Need re-survey,33
368,150,5,DISTRICT_AUTHORITY,1,REJECTED,NDVI mismatch,80
