satellite_id,survey_id,ndvi_before,ndvi_after,vegetation_loss,satellite_source,imagery_urls
30,30,0.77,0.43,92.91,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
31,31,0.78,0.47,41.86,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
32,32,0.69,0.27,17.12,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
33,33,0.66,0.44,51.54,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
34,34,0.61,0.11,64.31,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
35,35,0.63,0.16,92.99,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
36,36,0.95,0.18,61.83,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
37,37,0.59,0.17,71.85,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
38,38,0.53,0.38,24.02,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
39,39,0.55,0.39,79.94,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
40,40,0.57,0.29,37.21,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
41,41,0.72,0.12,65.07,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
42,42,0.51,0.43,79.47,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
43,43,0.75,0.25,64.38,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
44,44,0.61,0.31,43.61,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
45,45,0.93,0.39,33.27,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
46,46,0.54,0.33,39.91,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
47,47,0.94,0.48,74.69,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
48,48,0.9,0.21,20.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
49,49,0.56,0.21,79.4,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
50,50,0.9,0.31,93.57,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
51,51,0.6,0.3,43.67,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
52,52,0.56,0.42,57.38,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
53,53,0.73,0.28,40.16,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
54,54,0.6,0.27,91.49,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
55,55,0.73,0.11,65.52,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
56,56,0.62,0.22,74.52,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
57,57,0.73,0.4,13.91,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
58,58,0.65,0.2,50.1,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
59,59,0.89,0.48,11.8,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
60,60,0.61,0.23,83.38,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
61,61,0.66,0.38,17.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
62,62,0.6,0.46,77.79,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
63,63,0.72,0.23,47.54,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
64,64,0.6,0.42,52.92,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
65,65,0.63,0.49,86.95,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
66,66,0.56,0.47,48.03,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
67,67,0.75,0.41,11.68,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
68,68,0.63,0.12,43.19,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
69,69,0.56,0.28,58.26,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
70,70,0.57,0.25,85.01,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
71,71,0.63,0.47,14.8,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
72,72,0.89,0.43,52.03,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
73,73,0.53,0.32,92.51,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
74,74,0.63,0.48,70.97,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
75,75,0.58,0.35,44.8,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
76,76,0.64,0.49,47.44,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
77,77,0.54,0.18,39.12,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
78,78,0.67,0.33,52.4,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
79,79,0.72,0.16,80.07,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
80,80,0.59,0.37,46.86,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
81,81,0.57,0.42,19.82,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
82,82,0.74,0.39,48.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
83,83,0.57,0.45,87.83,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
84,84,0.59,0.21,64.59,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
85,85,0.79,0.47,49.15,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
86,86,0.66,0.43,52.18,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
87,87,0.79,0.32,58.14,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
88,88,0.77,0.36,60.39,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
89,89,0.67,0.45,19.93,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
90,90,0.85,0.38,74.94,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
91,91,0.64,0.43,93.42,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
92,92,0.81,0.35,73.19,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
93,93,0.85,0.38,83.93,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
94,94,0.79,0.15,20.66,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
95,95,0.62,0.49,43.77,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
96,96,0.77,0.48,14.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
97,97,0.54,0.11,52.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
98,98,0.9,0.13,13.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
99,99,0.78,0.4,50.54,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
100,100,0.63,0.19,94.26,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
101,101,0.69,0.32,28.48,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
102,102,0.58,0.38,28.5,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
103,103,0.81,0.25,76.2,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
104,104,0.83,0.36,15.53,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
105,105,0.69,0.17,62.57,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
106,106,0.92,0.3,81.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
107,107,0.66,0.13,20.46,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
108,108,0.91,0.32,40.1,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
109,109,0.93,0.44,47.05,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
110,110,0.79,0.45,44.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
111,111,0.6,0.29,34.66,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
112,112,0.84,0.35,73.85,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
113,113,0.89,0.46,13.57,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
114,114,0.94,0.38,60.39,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
115,115,0.85,0.37,22.44,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
116,116,0.71,0.4,56.65,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
117,117,0.51,0.23,44.2,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
118,118,0.68,0.22,26.78,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
119,119,0.6,0.13,70.16,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
120,120,0.79,0.25,24.89,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
121,121,0.67,0.18,16.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
122,122,0.68,0.11,87.74,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
123,123,0.66,0.41,26.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
124,124,0.91,0.21,42.63,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
125,125,0.78,0.35,79.03,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
126,126,0.69,0.27,65.89,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
127,127,0.62,0.13,31.28,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
128,128,0.7,0.3,77.46,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
129,129,0.66,0.3,83.64,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
130,130,0.76,0.49,25.76,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
131,131,0.92,0.16,44.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
132,132,0.82,0.27,18.29,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
133,133,0.77,0.2,52.88,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
134,134,0.8,0.16,62.1,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
135,135,0.94,0.26,20.38,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
136,136,0.73,0.47,24.36,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
137,137,0.9,0.3,91.29,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
138,138,0.67,0.3,88.4,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
139,139,0.64,0.3,77.33,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
140,140,0.59,0.45,36.87,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
141,141,0.61,0.1,54.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
142,142,0.84,0.29,28.96,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
143,143,0.88,0.39,37.78,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
144,144,0.77,0.49,94.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
145,145,0.87,0.21,24.03,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
146,146,0.65,0.23,70.13,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
147,147,0.51,0.15,90.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
148,148,0.62,0.44,30.15,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
149,149,0.67,0.35,56.07,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
150,150,0.73,0.13,50.67,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
151,151,0.69,0.2,23.16,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
152,152,0.91,0.11,30.98,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
153,153,0.71,0.42,57.62,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
154,154,0.85,0.38,44.82,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
155,155,0.79,0.31,27.63,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
156,156,0.53,0.17,24.32,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
157,157,0.6,0.13,47.69,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
158,158,0.75,0.49,16.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
159,159,0.63,0.49,19.44,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
160,160,0.7,0.15,86.77,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
161,161,0.79,0.16,60.96,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
162,162,0.75,0.32,49.76,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
163,163,0.66,0.47,60.52,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
164,164,0.74,0.48,12.06,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
165,165,0.75,0.4,68.32,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
166,166,0.64,0.12,89.08,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
167,167,0.76,0.2,68.45,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
168,168,0.7,0.42,17.57,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
169,169,0.53,0.13,51.67,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
170,170,0.76,0.25,60.5,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
171,171,0.92,0.34,87.54,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
172,172,0.69,0.19,85.23,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
173,173,0.76,0.21,93.36,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
174,174,0.55,0.16,62.25,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
175,175,0.7,0.35,92.89,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
176,176,0.9,0.36,73.1,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
177,177,0.95,0.38,45.57,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
178,178,0.59,0.16,41.13,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
179,179,0.92,0.37,61.6,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
180,180,0.63,0.31,42.48,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
181,181,0.83,0.11,60.74,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
182,182,0.75,0.17,10.41,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
183,183,0.63,0.5,59.16,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
184,184,0.6,0.39,80.85,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
185,185,0.94,0.43,30.22,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
186,186,0.85,0.1,58.63,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
187,187,0.84,0.3,32.07,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
188,188,0.73,0.39,64.55,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
189,189,0.55,0.4,42.66,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
190,190,0.8,0.29,36.51,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
191,191,0.67,0.5,61.62,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
192,192,0.92,0.26,31.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
193,193,0.55,0.18,54.89,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
194,194,0.64,0.49,50.4,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
195,195,0.72,0.35,49.95,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
196,196,0.68,0.24,40.43,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
197,197,0.76,0.35,46.22,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
198,198,0.7,0.45,27.28,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
199,199,0.81,0.39,90.77,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
200,200,0.84,0.14,31.52,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
201,201,0.8,0.46,41.8,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
202,202,0.68,0.35,41.6,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
203,203,0.79,0.23,59.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
204,204,0.74,0.5,47.08,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
205,205,0.78,0.1,65.94,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
206,206,0.8,0.2,20.11,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
207,207,0.64,0.48,17.74,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
208,208,0.65,0.47,45.86,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
209,209,0.73,0.46,74.32,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
210,210,0.82,0.5,29.39,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
211,211,0.72,0.48,22.67,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
212,212,0.64,0.33,39.92,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
213,213,0.82,0.14,67.53,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
214,214,0.62,0.12,77.27,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
215,215,0.9,0.4,85.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
216,216,0.76,0.28,30.87,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
217,217,0.82,0.12,46.15,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
218,218,0.91,0.31,50.97,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
219,219,0.57,0.48,86.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
220,220,0.66,0.49,47.58,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
221,221,0.52,0.46,73.74,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
222,222,0.58,0.14,38.99,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
223,223,0.89,0.23,68.87,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
224,224,0.87,0.44,14.04,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
225,225,0.5,0.3,45.25,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
226,226,0.7,0.43,56.53,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
227,227,0.79,0.37,45.16,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
228,228,0.55,0.44,61.8,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
229,229,0.7,0.37,66.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
230,230,0.59,0.13,17.12,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
231,231,0.54,0.36,17.14,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
232,232,0.53,0.36,38.99,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
233,233,0.89,0.29,18.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
234,234,0.92,0.45,68.51,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
235,235,0.84,0.17,88.81,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
236,236,0.61,0.45,92.36,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
237,237,0.65,0.34,49.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
238,238,0.61,0.39,48.47,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
239,239,0.87,0.29,75.67,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
240,240,0.89,0.13,58.23,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
241,241,0.95,0.46,39.42,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
242,242,0.78,0.22,54.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
243,243,0.75,0.36,33.18,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
244,244,0.75,0.34,43.92,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
245,245,0.76,0.32,84.91,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
246,246,0.79,0.34,39.66,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
247,247,0.63,0.39,48.31,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
248,248,0.72,0.21,55.24,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
249,249,0.95,0.44,33.93,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
250,250,0.66,0.15,81.61,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
251,251,0.54,0.17,31.23,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
252,252,0.82,0.29,41.54,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
253,253,0.91,0.41,63.25,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
254,254,0.73,0.41,78.44,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
255,255,0.88,0.42,36.53,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
256,256,0.8,0.35,82.29,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
257,257,0.9,0.37,65.51,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
258,258,0.63,0.13,69.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
259,259,0.72,0.43,39.4,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
260,260,0.93,0.17,27.58,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
261,261,0.68,0.23,76.3,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
262,262,0.91,0.32,65.07,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
263,263,0.85,0.48,47.92,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
264,264,0.52,0.4,46.17,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
265,265,0.63,0.47,41.79,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
266,266,0.68,0.5,66.5,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
267,267,0.51,0.43,75.0,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
268,268,0.85,0.14,61.06,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
269,269,0.86,0.43,12.44,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
270,270,0.51,0.11,59.7,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
271,271,0.71,0.5,71.92,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
272,272,0.8,0.46,42.13,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
273,273,0.52,0.44,29.78,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
274,274,0.59,0.19,29.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
275,275,0.52,0.27,66.87,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
276,276,0.59,0.33,43.08,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
277,277,0.79,0.33,15.26,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
278,278,0.89,0.48,77.96,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
279,279,0.83,0.24,78.82,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
280,280,0.91,0.1,76.22,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
281,281,0.95,0.4,77.2,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
282,282,0.54,0.28,31.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
283,283,0.64,0.27,26.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
284,284,0.55,0.45,36.82,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
285,285,0.87,0.38,93.34,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
286,286,0.81,0.12,25.05,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
287,287,0.83,0.22,88.47,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
288,288,0.68,0.27,83.84,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
289,289,0.58,0.26,71.21,Sentinel-2,"{""before"":""before.png"",""after"":""after.png""}"
