weather_id,survey_id,rainfall_mm,weather_source,anomaly_score,weather_metadata
48,48,63.97,IMD,86.22,"{""extreme_weather"":true}"
49,49,165.61,IMD,81.68,"{""extreme_weather"":true}"
50,50,10.41,IMD,69.03,"{""extreme_weather"":true}"
51,51,130.07,IMD,39.54,"{""extreme_weather"":true}"
52,52,161.35,IMD,28.52,"{""extreme_weather"":true}"
53,53,375.68,IMD,51.61,"{""extreme_weather"":true}"
54,54,305.89,IMD,43.17,"{""extreme_weather"":true}"
55,55,442.09,IMD,92.76,"{""extreme_weather"":true}"
56,56,208.92,IMD,53.72,"{""extreme_weather"":true}"
57,57,499.08,IMD,46.26,"{""extreme_weather"":true}"
58,58,496.66,IMD,54.14,"{""extreme_weather"":true}"
59,59,499.58,IMD,74.89,"{""extreme_weather"":true}"
60,60,148.49,IMD,53.2,"{""extreme_weather"":true}"
61,61,461.74,IMD,36.54,"{""extreme_weather"":true}"
62,62,326.28,IMD,5.41,"{""extreme_weather"":true}"
63,63,475.74,IMD,42.09,"{""extreme_weather"":true}"
64,64,187.09,IMD,69.73,"{""extreme_weather"":true}"
65,65,24.8,IMD,64.57,"{""extreme_weather"":true}"
66,66,225.12,IMD,95.33,"{""extreme_weather"":true}"
67,67,149.51,IMD,37.62,"{""extreme_weather"":true}"
68,68,23.85,IMD,24.67,"{""extreme_weather"":true}"
69,69,370.7,IMD,71.61,"{""extreme_weather"":true}"
70,70,468.68,IMD,84.19,"{""extreme_weather"":true}"
71,71,369.3,IMD,24.83,"{""extreme_weather"":true}"
72,72,442.57,IMD,60.64,"{""extreme_weather"":true}"
73,73,258.61,IMD,8.53,"{""extreme_weather"":true}"
74,74,93.93,IMD,61.06,"{""extreme_weather"":true}"
75,75,452.41,IMD,67.54,"{""extreme_weather"":true}"
76,76,253.8,IMD,78.36,"{""extreme_weather"":true}"
77,77,477.03,IMD,64.98,"{""extreme_weather"":true}"
78,78,401.72,IMD,35.52,"{""extreme_weather"":true}"
79,79,497.36,IMD,4.37,"{""extreme_weather"":true}"
80,80,133.49,IMD,15.67,"{""extreme_weather"":true}"
81,81,360.69,IMD,33.62,"{""extreme_weather"":true}"
82,82,8.29,IMD,29.92,"{""extreme_weather"":true}"
83,83,380.61,IMD,32.54,"{""extreme_weather"":true}"
84,84,113.7,IMD,6.47,"{""extreme_weather"":true}"
85,85,277.85,IMD,90.69,"{""extreme_weather"":true}"
86,86,353.83,IMD,88.85,"{""extreme_weather"":true}"
87,87,298.67,IMD,37.4,"{""extreme_weather"":true}"
88,88,314.06,IMD,98.06,"{""extreme_weather"":true}"
89,89,307.65,IMD,80.57,"{""extreme_weather"":true}"
90,90,16.52,IMD,50.79,"{""extreme_weather"":true}"
91,91,477.17,IMD,79.45,"{""extreme_weather"":true}"
92,92,48.76,IMD,85.13,"{""extreme_weather"":true}"
93,93,81.65,IMD,71.01,"{""extreme_weather"":true}"
94,94,144.2,IMD,71.2,"{""extreme_weather"":true}"
95,95,484.97,IMD,55.14,"{""extreme_weather"":true}"
96,96,162.52,IMD,46.57,"{""extreme_weather"":true}"
97,97,338.15,IMD,51.28,"{""extreme_weather"":true}"
98,98,266.61,IMD,14.45,"{""extreme_weather"":true}"
99,99,368.65,IMD,24.11,"{""extreme_weather"":true}"
100,100,98.79,IMD,37.64,"{""extreme_weather"":true}"
101,101,36.95,IMD,91.17,"{""extreme_weather"":true}"
102,102,410.19,IMD,26.26,"{""extreme_weather"":true}"
103,103,307.57,IMD,47.78,"{""extreme_weather"":true}"
104,104,152.95,IMD,91.11,"{""extreme_weather"":true}"
105,105,244.05,IMD,57.92,"{""extreme_weather"":true}"
106,106,436.38,IMD,9.54,"{""extreme_weather"":true}"
107,107,35.89,IMD,80.91,"{""extreme_weather"":true}"
108,108,466.14,IMD,15.99,"{""extreme_weather"":true}"
109,109,119.95,IMD,85.46,"{""extreme_weather"":true}"
110,110,132.93,IMD,77.01,"{""extreme_weather"":true}"
111,111,123.14,IMD,67.74,"{""extreme_weather"":true}"
112,112,471.97,IMD,93.51,"{""extreme_weather"":true}"
113,113,89.82,IMD,1.66,"{""extreme_weather"":true}"
114,114,472.92,IMD,62.65,"{""extreme_weather"":true}"
115,115,449.84,IMD,29.68,"{""extreme_weather"":true}"
116,116,103.62,IMD,86.29,"{""extreme_weather"":true}"
117,117,323.19,IMD,72.53,"{""extreme_weather"":true}"
118,118,276.33,IMD,80.13,"{""extreme_weather"":true}"
119,119,114.66,IMD,13.69,"{""extreme_weather"":true}"
120,120,340.12,IMD,57.44,"{""extreme_weather"":true}"
121,121,479.39,IMD,34.9,"{""extreme_weather"":true}"
122,122,140.81,IMD,59.66,"{""extreme_weather"":true}"
123,123,480.72,IMD,54.95,"{""extreme_weather"":true}"
124,124,444.1,IMD,79.36,"{""extreme_weather"":true}"
125,125,431.51,IMD,9.64,"{""extreme_weather"":true}"
126,126,80.23,IMD,8.63,"{""extreme_weather"":true}"
127,127,428.07,IMD,96.44,"{""extreme_weather"":true}"
128,128,111.7,IMD,99.75,"{""extreme_weather"":true}"
129,129,474.09,IMD,61.72,"{""extreme_weather"":true}"
130,130,89.49,IMD,74.88,"{""extreme_weather"":true}"
131,131,97.99,IMD,24.36,"{""extreme_weather"":true}"
132,132,451.53,IMD,19.04,"{""extreme_weather"":true}"
133,133,239.18,IMD,26.52,"{""extreme_weather"":true}"
134,134,342.78,IMD,53.95,"{""extreme_weather"":true}"
135,135,280.55,IMD,45.84,"{""extreme_weather"":true}"
136,136,75.8,IMD,37.6,"{""extreme_weather"":true}"
137,137,205.78,IMD,56.1,"{""extreme_weather"":true}"
138,138,291.83,IMD,89.26,"{""extreme_weather"":true}"
139,139,147.15,IMD,86.41,"{""extreme_weather"":true}"
140,140,93.94,IMD,45.57,"{""extreme_weather"":true}"
141,141,322.07,IMD,30.37,"{""extreme_weather"":true}"
142,142,96.37,IMD,64.8,"{""extreme_weather"":true}"
143,143,168.92,IMD,89.38,"{""extreme_weather"":true}"
144,144,32.49,IMD,20.73,"{""extreme_weather"":true}"
145,145,405.69,IMD,94.25,"{""extreme_weather"":true}"
146,146,19.76,IMD,12.7,"{""extreme_weather"":true}"
147,147,284.24,IMD,88.89,"{""extreme_weather"":true}"
148,148,417.07,IMD,74.85,"{""extreme_weather"":true}"
149,149,83.31,IMD,58.89,"{""extreme_weather"":true}"
150,150,350.9,IMD,39.4,"{""extreme_weather"":true}"
151,151,20.75,IMD,52.55,"{""extreme_weather"":true}"
152,152,268.65,IMD,27.29,"{""extreme_weather"":true}"
153,153,134.73,IMD,6.87,"{""extreme_weather"":true}"
154,154,338.19,IMD,23.51,"{""extreme_weather"":true}"
155,155,99.22,IMD,27.32,"{""extreme_weather"":true}"
156,156,344.15,IMD,41.39,"{""extreme_weather"":true}"
157,157,452.26,IMD,45.65,"{""extreme_weather"":true}"
158,158,410.3,IMD,23.01,"{""extreme_weather"":true}"
159,159,243.05,IMD,40.32,"{""extreme_weather"":true}"
160,160,170.85,IMD,60.87,"{""extreme_weather"":true}"
161,161,210.18,IMD,5.55,"{""extreme_weather"":true}"
162,162,418.29,IMD,9.18,"{""extreme_weather"":true}"
163,163,207.04,IMD,93.95,"{""extreme_weather"":true}"
164,164,82.29,IMD,8.87,"{""extreme_weather"":true}"
165,165,115.82,IMD,6.69,"{""extreme_weather"":true}"
166,166,263.4,IMD,78.21,"{""extreme_weather"":true}"
167,167,208.52,IMD,28.29,"{""extreme_weather"":true}"
168,168,141.73,IMD,41.61,"{""extreme_weather"":true}"
169,169,63.85,IMD,48.0,"{""extreme_weather"":true}"
170,170,419.65,IMD,5.46,"{""extreme_weather"":true}"
171,171,173.2,IMD,52.43,"{""extreme_weather"":true}"
172,172,332.9,IMD,85.29,"{""extreme_weather"":true}"
173,173,213.05,IMD,62.52,"{""extreme_weather"":true}"
174,174,478.75,IMD,62.15,"{""extreme_weather"":true}"
175,175,220.26,IMD,39.0,"{""extreme_weather"":true}"
176,176,135.24,IMD,48.67,"{""extreme_weather"":true}"
177,177,390.54,IMD,74.17,"{""extreme_weather"":true}"
178,178,469.59,IMD,59.57,"{""extreme_weather"":true}"
179,179,491.4,IMD,41.81,"{""extreme_weather"":true}"
180,180,309.9,IMD,57.99,"{""extreme_weather"":true}"
181,181,475.47,IMD,6.97,"{""extreme_weather"":true}"
182,182,186.11,IMD,90.95,"{""extreme_weather"":true}"
183,183,196.83,IMD,12.84,"{""extreme_weather"":true}"
184,184,188.2,IMD,93.67,"{""extreme_weather"":true}"
185,185,30.47,IMD,31.4,"{""extreme_weather"":true}"
186,186,256.82,IMD,40.17,"{""extreme_weather"":true}"
187,187,482.91,IMD,86.27,"{""extreme_weather"":true}"
188,188,225.18,IMD,62.43,"{""extreme_weather"":true}"
189,189,489.19,IMD,2.31,"{""extreme_weather"":true}"
190,190,447.55,IMD,1.64,"{""extreme_weather"":true}"
191,191,401.22,IMD,53.21,"{""extreme_weather"":true}"
192,192,333.51,IMD,78.01,"{""extreme_weather"":true}"
193,193,272.06,IMD,84.7,"{""extreme_weather"":true}"
194,194,39.88,IMD,85.74,"{""extreme_weather"":true}"
195,195,264.5,IMD,63.16,"{""extreme_weather"":true}"
196,196,284.98,IMD,40.12,"{""extreme_weather"":true}"
197,197,33.94,IMD,31.43,"{""extreme_weather"":true}"
198,198,165.31,IMD,68.87,"{""extreme_weather"":true}"
199,199,476.83,IMD,57.81,"{""extreme_weather"":true}"
200,200,424.85,IMD,89.14,"{""extreme_weather"":true}"
201,201,113.93,IMD,36.19,"{""extreme_weather"":true}"
202,202,386.05,IMD,18.54,"{""extreme_weather"":true}"
203,203,397.46,IMD,53.31,"{""extreme_weather"":true}"
204,204,294.12,IMD,92.32,"{""extreme_weather"":true}"
205,205,84.19,IMD,27.0,"{""extreme_weather"":true}"
206,206,302.96,IMD,53.81,"{""extreme_weather"":true}"
207,207,222.49,IMD,68.38,"{""extreme_weather"":true}"
208,208,311.99,IMD,59.6,"{""extreme_weather"":true}"
209,209,409.2,IMD,29.85,"{""extreme_weather"":true}"
210,210,267.29,IMD,64.01,"{""extreme_weather"":true}"
211,211,286.65,IMD,6.9,"{""extreme_weather"":true}"
212,212,485.03,IMD,77.77,"{""extreme_weather"":true}"
213,213,464.65,IMD,37.17,"{""extreme_weather"":true}"
214,214,109.26,IMD,79.05,"{""extreme_weather"":true}"
215,215,391.02,IMD,64.98,"{""extreme_weather"":true}"
216,216,94.1,IMD,41.08,"{""extreme_weather"":true}"
217,217,97.15,IMD,48.21,"{""extreme_weather"":true}"
218,218,354.92,IMD,84.19,"{""extreme_weather"":true}"
219,219,147.54,IMD,28.21,"{""extreme_weather"":true}"
220,220,45.47,IMD,92.57,"{""extreme_weather"":true}"
221,221,472.62,IMD,33.06,"{""extreme_weather"":true}"
222,222,453.99,IMD,4.55,"{""extreme_weather"":true}"
223,223,17.36,IMD,37.13,"{""extreme_weather"":true}"
224,224,11.86,IMD,44.1,"{""extreme_weather"":true}"
225,225,457.64,IMD,40.58,"{""extreme_weather"":true}"
226,226,498.7,IMD,86.59,"{""extreme_weather"":true}"
227,227,462.97,IMD,4.35,"{""extreme_weather"":true}"
228,228,229.63,IMD,28.04,"{""extreme_weather"":true}"
229,229,486.06,IMD,30.96,"{""extreme_weather"":true}"
230,230,434.66,IMD,19.77,"{""extreme_weather"":true}"
231,231,163.87,IMD,75.79,"{""extreme_weather"":true}"
232,232,212.71,IMD,90.05,"{""extreme_weather"":true}"
233,233,42.62,IMD,79.46,"{""extreme_weather"":true}"
234,234,430.78,IMD,67.19,"{""extreme_weather"":true}"
235,235,138.9,IMD,93.79,"{""extreme_weather"":true}"
236,236,391.9,IMD,78.12,"{""extreme_weather"":true}"
237,237,104.34,IMD,63.81,"{""extreme_weather"":true}"
238,238,23.39,IMD,98.0,"{""extreme_weather"":true}"
239,239,335.96,IMD,51.06,"{""extreme_weather"":true}"
240,240,301.87,IMD,30.79,"{""extreme_weather"":true}"
241,241,196.26,IMD,24.97,"{""extreme_weather"":true}"
242,242,461.89,IMD,66.92,"{""extreme_weather"":true}"
243,243,422.3,IMD,41.28,"{""extreme_weather"":true}"
244,244,203.45,IMD,29.63,"{""extreme_weather"":true}"
245,245,191.76,IMD,8.64,"{""extreme_weather"":true}"
246,246,380.9,IMD,41.98,"{""extreme_weather"":true}"
247,247,218.04,IMD,4.23,"{""extreme_weather"":true}"
248,248,335.83,IMD,74.14,"{""extreme_weather"":true}"
249,249,374.86,IMD,8.77,"{""extreme_weather"":true}"
250,250,407.06,IMD,30.79,"{""extreme_weather"":true}"
251,251,256.86,IMD,79.46,"{""extreme_weather"":true}"
252,252,323.76,IMD,28.71,"{""extreme_weather"":true}"
253,253,64.83,IMD,29.01,"{""extreme_weather"":true}"
254,254,278.64,IMD,98.57,"{""extreme_weather"":true}"
255,255,322.18,IMD,39.22,"{""extreme_weather"":true}"
256,256,116.9,IMD,37.34,"{""extreme_weather"":true}"
257,257,243.71,IMD,79.37,"{""extreme_weather"":true}"
258,258,354.71,IMD,23.94,"{""extreme_weather"":true}"
259,259,468.15,IMD,22.96,"{""extreme_weather"":true}"
260,260,294.0,IMD,64.63,"{""extreme_weather"":true}"
261,261,337.83,IMD,72.31,"{""extreme_weather"":true}"
262,262,274.06,IMD,8.44,"{""extreme_weather"":true}"
263,263,92.6,IMD,19.49,"{""extreme_weather"":true}"
264,264,456.1,IMD,70.19,"{""extreme_weather"":true}"
265,265,251.2,IMD,64.04,"{""extreme_weather"":true}"
266,266,324.55,IMD,6.24,"{""extreme_weather"":true}"
267,267,119.71,IMD,10.64,"{""extreme_weather"":true}"
268,268,335.19,IMD,75.7,"{""extreme_weather"":true}"
269,269,141.31,IMD,81.02,"{""extreme_weather"":true}"
270,270,172.7,IMD,59.74,"{""extreme_weather"":true}"
271,271,333.94,IMD,93.03,"{""extreme_weather"":true}"
272,272,425.51,IMD,40.51,"{""extreme_weather"":true}"
273,273,139.19,IMD,67.24,"{""extreme_weather"":true}"
274,274,197.77,IMD,7.41,"{""extreme_weather"":true}"
275,275,315.12,IMD,22.89,"{""extreme_weather"":true}"
276,276,292.11,IMD,48.59,"{""extreme_weather"":true}"
277,277,267.76,IMD,96.78,"{""extreme_weather"":true}"
278,278,8.3,IMD,97.05,"{""extreme_weather"":true}"
279,279,359.91,IMD,5.33,"{""extreme_weather"":true}"
280,280,115.06,IMD,25.84,"{""extreme_weather"":true}"
281,281,26.69,IMD,39.73,"{""extreme_weather"":true}"
282,282,89.67,IMD,2.36,"{""extreme_weather"":true}"
283,283,314.15,IMD,29.99,"{""extreme_weather"":true}"
284,284,490.19,IMD,32.23,"{""extreme_weather"":true}"
285,285,336.59,IMD,88.47,"{""extreme_weather"":true}"
286,286,112.48,IMD,51.88,"{""extreme_weather"":true}"
287,287,445.19,IMD,48.02,"{""extreme_weather"":true}"
288,288,207.58,IMD,97.42,"{""extreme_weather"":true}"
289,289,13.57,IMD,89.96,"{""extreme_weather"":true}"
290,290,451.68,IMD,80.29,"{""extreme_weather"":true}"
291,291,320.38,IMD,9.75,"{""extreme_weather"":true}"
292,292,156.08,IMD,88.85,"{""extreme_weather"":true}"
293,293,74.77,IMD,11.36,"{""extreme_weather"":true}"
294,294,232.92,IMD,27.68,"{""extreme_weather"":true}"
295,295,497.7,IMD,97.28,"{""extreme_weather"":true}"
296,296,272.28,IMD,67.33,"{""extreme_weather"":true}"
297,297,317.55,IMD,82.58,"{""extreme_weather"":true}"
298,298,8.77,IMD,4.9,"{""extreme_weather"":true}"
299,299,358.93,IMD,47.89,"{""extreme_weather"":true}"
300,300,374.51,IMD,46.43,"{""extreme_weather"":true}"
301,301,210.86,IMD,55.69,"{""extreme_weather"":true}"
302,302,14.1,IMD,37.76,"{""extreme_weather"":true}"
303,303,318.36,IMD,1.12,"{""extreme_weather"":true}"
304,304,211.08,IMD,43.72,"{""extreme_weather"":true}"
305,305,411.55,IMD,67.68,"{""extreme_weather"":true}"
306,306,185.98,IMD,7.84,"{""extreme_weather"":true}"
307,307,108.23,IMD,27.68,"{""extreme_weather"":true}"
308,308,76.53,IMD,91.78,"{""extreme_weather"":true}"
309,309,8.16,IMD,23.15,"{""extreme_weather"":true}"
310,310,366.53,IMD,40.98,"{""extreme_weather"":true}"
311,311,458.42,IMD,69.55,"{""extreme_weather"":true}"
312,312,392.17,IMD,46.3,"{""extreme_weather"":true}"
313,313,57.47,IMD,53.14,"{""extreme_weather"":true}"
314,314,322.76,IMD,25.39,"{""extreme_weather"":true}"
315,315,15.25,IMD,92.55,"{""extreme_weather"":true}"
316,316,89.44,IMD,24.59,"{""extreme_weather"":true}"
317,317,140.83,IMD,38.93,"{""extreme_weather"":true}"
318,318,477.7,IMD,75.42,"{""extreme_weather"":true}"
319,319,124.44,IMD,44.08,"{""extreme_weather"":true}"
320,320,405.79,IMD,21.46,"{""extreme_weather"":true}"
321,321,142.14,IMD,70.9,"{""extreme_weather"":true}"
322,322,298.5,IMD,52.77,"{""extreme_weather"":true}"
323,323,319.32,IMD,94.89,"{""extreme_weather"":true}"
324,324,22.95,IMD,62.5,"{""extreme_weather"":true}"
325,325,272.4,IMD,92.79,"{""extreme_weather"":true}"
326,326,52.63,IMD,48.53,"{""extreme_weather"":true}"
327,327,458.16,IMD,50.28,"{""extreme_weather"":true}"
328,328,249.95,IMD,81.72,"{""extreme_weather"":true}"
329,329,40.24,IMD,71.78,"{""extreme_weather"":true}"
330,330,206.71,IMD,11.69,"{""extreme_weather"":true}"
331,331,459.29,IMD,84.15,"{""extreme_weather"":true}"
332,332,393.68,IMD,12.22,"{""extreme_weather"":true}"
333,333,64.7,IMD,50.96,"{""extreme_weather"":true}"
334,334,322.08,IMD,4.74,"{""extreme_weather"":true}"
335,335,342.4,IMD,32.42,"{""extreme_weather"":true}"
336,336,289.23,IMD,35.93,"{""extreme_weather"":true}"
337,337,489.39,IMD,27.37,"{""extreme_weather"":true}"
338,338,487.69,IMD,83.95,"{""extreme_weather"":true}"
339,339,129.02,IMD,71.03,"{""extreme_weather"":true}"
340,340,429.45,IMD,85.91,"{""extreme_weather"":true}"
341,341,121.97,IMD,67.76,"{""extreme_weather"":true}"
342,342,480.15,IMD,5.78,"{""extreme_weather"":true}"
343,343,57.91,IMD,21.39,"{""extreme_weather"":true}"
344,344,185.0,IMD,84.02,"{""extreme_weather"":true}"
345,345,368.85,IMD,92.94,"{""extreme_weather"":true}"
346,346,258.23,IMD,62.71,"{""extreme_weather"":true}"
347,347,340.24,IMD,69.49,"{""extreme_weather"":true}"
348,348,331.78,IMD,93.61,"{""extreme_weather"":true}"
349,349,433.42,IMD,3.28,"{""extreme_weather"":true}"
350,350,265.97,IMD,32.21,"{""extreme_weather"":true}"
351,351,297.53,IMD,3.51,"{""extreme_weather"":true}"
352,352,148.69,IMD,52.32,"{""extreme_weather"":true}"
353,353,132.26,IMD,82.38,"{""extreme_weather"":true}"
354,354,427.37,IMD,39.31,"{""extreme_weather"":true}"
355,355,482.56,IMD,77.81,"{""extreme_weather"":true}"
356,356,155.64,IMD,14.97,"{""extreme_weather"":true}"
357,357,246.41,IMD,83.75,"{""extreme_weather"":true}"
358,358,32.89,IMD,33.94,"{""extreme_weather"":true}"
359,359,334.57,IMD,27.75,"{""extreme_weather"":true}"
360,360,231.3,IMD,4.87,"{""extreme_weather"":true}"
361,361,103.44,IMD,41.58,"{""extreme_weather"":true}"
362,362,390.11,IMD,25.89,"{""extreme_weather"":true}"
363,363,348.76,IMD,45.32,"{""extreme_weather"":true}"
364,364,242.65,IMD,75.13,"{""extreme_weather"":true}"
365,365,162.26,IMD,89.51,"{""extreme_weather"":true}"
366,366,247.05,IMD,31.6,"{""extreme_weather"":true}"
367,367,286.85,IMD,51.53,"{""extreme_weather"":true}"
368,368,90.42,IMD,56.22,"{""extreme_weather"":true}"
369,369,484.16,IMD,93.89,"{""extreme_weather"":true}"
370,370,450.98,IMD,65.39,"{""extreme_weather"":true}"
371,371,196.91,IMD,26.27,"{""extreme_weather"":true}"
372,372,7.91,IMD,34.91,"{""extreme_weather"":true}"
373,373,250.33,IMD,44.11,"{""extreme_weather"":true}"
374,374,496.27,IMD,91.18,"{""extreme_weather"":true}"
375,375,471.34,IMD,6.85,"{""extreme_weather"":true}"
376,376,386.21,IMD,17.87,"{""extreme_weather"":true}"
377,377,337.24,IMD,61.95,"{""extreme_weather"":true}"
378,378,214.09,IMD,15.76,"{""extreme_weather"":true}"
379,379,337.08,IMD,7.19,"{""extreme_weather"":true}"
380,380,432.31,IMD,77.85,"{""extreme_weather"":true}"
381,381,182.58,IMD,39.96,"{""extreme_weather"":true}"
382,382,200.56,IMD,23.85,"{""extreme_weather"":true}"
383,383,199.87,IMD,67.16,"{""extreme_weather"":true}"
384,384,76.34,IMD,41.46,"{""extreme_weather"":true}"
385,385,312.32,IMD,72.7,"{""extreme_weather"":true}"
386,386,431.35,IMD,58.08,"{""extreme_weather"":true}"
387,387,278.83,IMD,3.06,"{""extreme_weather"":true}"
388,388,417.79,IMD,75.49,"{""extreme_weather"":true}"
389,389,228.31,IMD,46.33,"{""extreme_weather"":true}"
390,390,403.84,IMD,44.36,"{""extreme_weather"":true}"
391,391,303.95,IMD,64.75,"{""extreme_weather"":true}"
392,392,224.41,IMD,84.04,"{""extreme_weather"":true}"
393,393,490.67,IMD,98.65,"{""extreme_weather"":true}"
394,394,472.11,IMD,73.12,"{""extreme_weather"":true}"
395,395,222.88,IMD,57.72,"{""extreme_weather"":true}"
396,396,330.48,IMD,19.74,"{""extreme_weather"":true}"
397,397,314.01,IMD,75.61,"{""extreme_weather"":true}"
398,398,13.83,IMD,29.79,"{""extreme_weather"":true}"
399,399,78.04,IMD,25.66,"{""extreme_weather"":true}"
400,400,68.28,IMD,71.06,"{""extreme_weather"":true}"
401,401,435.46,IMD,97.65,"{""extreme_weather"":true}"
402,402,341.15,IMD,64.95,"{""extreme_weather"":true}"
403,403,477.77,IMD,37.19,"{""extreme_weather"":true}"
404,404,200.68,IMD,22.23,"{""extreme_weather"":true}"
405,405,65.62,IMD,84.78,"{""extreme_weather"":true}"
406,406,97.96,IMD,82.55,"{""extreme_weather"":true}"
407,407,328.12,IMD,16.01,"{""extreme_weather"":true}"
408,408,247.83,IMD,79.68,"{""extreme_weather"":true}"
409,409,55.92,IMD,27.69,"{""extreme_weather"":true}"
410,410,386.19,IMD,83.03,"{""extreme_weather"":true}"
411,411,156.29,IMD,76.75,"{""extreme_weather"":true}"
412,412,164.15,IMD,27.7,"{""extreme_weather"":true}"
413,413,149.56,IMD,75.69,"{""extreme_weather"":true}"
414,414,322.1,IMD,40.69,"{""extreme_weather"":true}"
415,415,454.71,IMD,88.49,"{""extreme_weather"":true}"
416,416,14.45,IMD,96.18,"{""extreme_weather"":true}"
417,417,201.26,IMD,98.24,"{""extreme_weather"":true}"
418,418,410.2,IMD,32.05,"{""extreme_weather"":true}"
419,419,318.22,IMD,8.29,"{""extreme_weather"":true}"
420,420,175.71,IMD,89.94,"{""extreme_weather"":true}"
421,421,199.05,IMD,14.72,"{""extreme_weather"":true}"
422,422,432.69,IMD,58.08,"{""extreme_weather"":true}"
423,423,225.45,IMD,16.83,"{""extreme_weather"":true}"
424,424,14.6,IMD,90.38,"{""extreme_weather"":true}"
425,425,206.55,IMD,50.87,"{""extreme_weather"":true}"
426,426,410.61,IMD,97.37,"{""extreme_weather"":true}"
427,427,26.75,IMD,29.95,"{""extreme_weather"":true}"
428,428,10.01,IMD,70.59,"{""extreme_weather"":true}"
429,429,74.82,IMD,83.74,"{""extreme_weather"":true}"
430,430,323.46,IMD,50.81,"{""extreme_weather"":true}"
431,431,472.46,IMD,1.2,"{""extreme_weather"":true}"
432,432,451.69,IMD,89.29,"{""extreme_weather"":true}"
433,433,365.23,IMD,7.43,"{""extreme_weather"":true}"
434,434,53.48,IMD,77.79,"{""extreme_weather"":true}"
435,435,356.72,IMD,48.28,"{""extreme_weather"":true}"
436,436,172.76,IMD,29.89,"{""extreme_weather"":true}"
437,437,30.53,IMD,62.04,"{""extreme_weather"":true}"
438,438,463.56,IMD,31.17,"{""extreme_weather"":true}"
439,439,303.59,IMD,91.88,"{""extreme_weather"":true}"
440,440,113.96,IMD,97.98,"{""extreme_weather"":true}"
441,441,42.94,IMD,33.39,"{""extreme_weather"":true}"
442,442,363.38,IMD,58.69,"{""extreme_weather"":true}"
443,443,256.5,IMD,24.8,"{""extreme_weather"":true}"
444,444,311.18,IMD,89.46,"{""extreme_weather"":true}"
445,445,439.82,IMD,73.85,"{""extreme_weather"":true}"
446,446,171.42,IMD,66.42,"{""extreme_weather"":true}"
447,447,176.25,IMD,84.71,"{""extreme_weather"":true}"
448,448,135.0,IMD,67.32,"{""extreme_weather"":true}"
449,449,243.35,IMD,12.27,"{""extreme_weather"":true}"
