farm_id,farmer_id,survey_number,gat_number,farm_area_hectare,village_id,geojson,soil_type,irrigation_type
35,18,994/2,GAT-35,2.48,399,"{""type"":""Polygon""}",Red Soil,Rainfed
36,18,240/3,GAT-36,7.39,399,"{""type"":""Polygon""}",Red Soil,Rainfed
37,19,367/4,GAT-37,9.73,467,"{""type"":""Polygon""}",Red Soil,Rainfed
38,19,964/3,GAT-38,9.29,467,"{""type"":""Polygon""}",Black Soil,Canal
39,20,684/4,GAT-39,5.48,460,"{""type"":""Polygon""}",Clay,Rainfed
40,21,700/3,GAT-40,5.62,289,"{""type"":""Polygon""}",Black Soil,Drip
41,22,423/3,GAT-41,3.5,182,"{""type"":""Polygon""}",Black Soil,Rainfed
42,22,480/1,GAT-42,6.25,182,"{""type"":""Polygon""}",Red Soil,Drip
43,23,832/5,GAT-43,4.47,364,"{""type"":""Polygon""}",Red Soil,Drip
44,24,988/4,GAT-44,9.82,83,"{""type"":""Polygon""}",Black Soil,Canal
45,24,535/5,GAT-45,0.83,83,"{""type"":""Polygon""}",Clay,Canal
46,25,645/3,GAT-46,4.5,7,"{""type"":""Polygon""}",Clay,Rainfed
47,26,745/5,GAT-47,5.98,273,"{""type"":""Polygon""}",Red Soil,Drip
48,26,152/3,GAT-48,3.95,273,"{""type"":""Polygon""}",Red Soil,Rainfed
49,27,470/4,GAT-49,5.49,417,"{""type"":""Polygon""}",Red Soil,Drip
50,28,22/1,GAT-50,5.77,105,"{""type"":""Polygon""}",Clay,Rainfed
51,28,548/1,GAT-51,7.45,105,"{""type"":""Polygon""}",Red Soil,Rainfed
52,28,440/3,GAT-52,8.66,105,"{""type"":""Polygon""}",Red Soil,Canal
53,29,543/4,GAT-53,3.96,174,"{""type"":""Polygon""}",Black Soil,Canal
54,29,643/5,GAT-54,9.92,174,"{""type"":""Polygon""}",Clay,Canal
55,30,366/5,GAT-55,5.19,394,"{""type"":""Polygon""}",Clay,Drip
56,30,431/4,GAT-56,9.39,394,"{""type"":""Polygon""}",Clay,Rainfed
57,30,573/5,GAT-57,1.48,394,"{""type"":""Polygon""}",Clay,Rainfed
58,31,781/2,GAT-58,2.92,125,"{""type"":""Polygon""}",Clay,Canal
59,32,610/5,GAT-59,7.86,451,"{""type"":""Polygon""}",Black Soil,Drip
60,32,861/2,GAT-60,5.47,451,"{""type"":""Polygon""}",Black Soil,Canal
61,33,844/5,GAT-61,2.24,450,"{""type"":""Polygon""}",Clay,Drip
62,33,421/1,GAT-62,2.17,450,"{""type"":""Polygon""}",Clay,Canal
63,34,91/3,GAT-63,7.41,234,"{""type"":""Polygon""}",Red Soil,Rainfed
64,34,604/2,GAT-64,1.89,234,"{""type"":""Polygon""}",Clay,Drip
65,35,308/2,GAT-65,7.81,292,"{""type"":""Polygon""}",Black Soil,Drip
66,35,14/5,GAT-66,5.7,292,"{""type"":""Polygon""}",Clay,Rainfed
67,35,494/2,GAT-67,2.69,292,"{""type"":""Polygon""}",Black Soil,Rainfed
68,36,107/5,GAT-68,6.96,87,"{""type"":""Polygon""}",Black Soil,Rainfed
69,36,989/3,GAT-69,4.62,87,"{""type"":""Polygon""}",Black Soil,Rainfed
70,37,504/2,GAT-70,5.55,355,"{""type"":""Polygon""}",Black Soil,Canal
71,37,453/2,GAT-71,3.23,355,"{""type"":""Polygon""}",Black Soil,Rainfed
72,38,20/4,GAT-72,6.31,466,"{""type"":""Polygon""}",Red Soil,Rainfed
73,38,414/3,GAT-73,4.3,466,"{""type"":""Polygon""}",Red Soil,Drip
74,38,147/1,GAT-74,1.47,466,"{""type"":""Polygon""}",Red Soil,Canal
75,39,988/4,GAT-75,4.02,359,"{""type"":""Polygon""}",Clay,Drip
76,39,144/1,GAT-76,4.41,359,"{""type"":""Polygon""}",Clay,Canal
77,40,937/2,GAT-77,2.33,201,"{""type"":""Polygon""}",Black Soil,Drip
78,40,410/5,GAT-78,5.54,201,"{""type"":""Polygon""}",Black Soil,Rainfed
79,41,226/5,GAT-79,6.28,125,"{""type"":""Polygon""}",Red Soil,Drip
80,42,654/2,GAT-80,2.25,20,"{""type"":""Polygon""}",Black Soil,Rainfed
81,43,945/4,GAT-81,1.05,124,"{""type"":""Polygon""}",Clay,Drip
82,43,328/4,GAT-82,4.02,124,"{""type"":""Polygon""}",Clay,Drip
83,44,873/3,GAT-83,4.41,327,"{""type"":""Polygon""}",Black Soil,Canal
84,44,444/2,GAT-84,0.79,327,"{""type"":""Polygon""}",Black Soil,Canal
85,45,252/2,GAT-85,8.52,22,"{""type"":""Polygon""}",Red Soil,Drip
86,46,191/5,GAT-86,8.4,246,"{""type"":""Polygon""}",Red Soil,Rainfed
87,47,341/1,GAT-87,2.11,74,"{""type"":""Polygon""}",Clay,Drip
88,47,292/3,GAT-88,9.06,74,"{""type"":""Polygon""}",Clay,Rainfed
89,48,886/4,GAT-89,2.2,263,"{""type"":""Polygon""}",Red Soil,Canal
90,49,513/1,GAT-90,5.39,403,"{""type"":""Polygon""}",Clay,Rainfed
91,50,217/4,GAT-91,2.96,436,"{""type"":""Polygon""}",Clay,Canal
92,51,58/4,GAT-92,8.79,288,"{""type"":""Polygon""}",Red Soil,Drip
93,52,585/3,GAT-93,7.08,339,"{""type"":""Polygon""}",Black Soil,Rainfed
94,52,683/5,GAT-94,4.26,339,"{""type"":""Polygon""}",Red Soil,Drip
95,53,742/4,GAT-95,9.21,204,"{""type"":""Polygon""}",Red Soil,Rainfed
96,53,600/2,GAT-96,9.61,204,"{""type"":""Polygon""}",Clay,Drip
97,53,313/5,GAT-97,1.39,204,"{""type"":""Polygon""}",Clay,Drip
98,54,389/4,GAT-98,8.57,382,"{""type"":""Polygon""}",Clay,Rainfed
99,55,608/3,GAT-99,8.91,425,"{""type"":""Polygon""}",Clay,Canal
100,55,119/1,GAT-100,8.79,425,"{""type"":""Polygon""}",Clay,Rainfed
101,56,848/3,GAT-101,5.73,63,"{""type"":""Polygon""}",Red Soil,Drip
102,56,618/4,GAT-102,1.54,63,"{""type"":""Polygon""}",Red Soil,Rainfed
103,57,997/3,GAT-103,4.03,57,"{""type"":""Polygon""}",Black Soil,Rainfed
104,57,437/5,GAT-104,5.64,57,"{""type"":""Polygon""}",Black Soil,Rainfed
105,57,26/4,GAT-105,7.37,57,"{""type"":""Polygon""}",Black Soil,Rainfed
106,58,580/3,GAT-106,1.79,267,"{""type"":""Polygon""}",Clay,Rainfed
107,59,905/4,GAT-107,1.04,374,"{""type"":""Polygon""}",Black Soil,Drip
108,60,772/4,GAT-108,6.22,189,"{""type"":""Polygon""}",Black Soil,Rainfed
109,60,48/3,GAT-109,5.6,189,"{""type"":""Polygon""}",Red Soil,Rainfed
110,60,406/5,GAT-110,4.26,189,"{""type"":""Polygon""}",Red Soil,Canal
111,61,709/5,GAT-111,5.89,391,"{""type"":""Polygon""}",Red Soil,Canal
112,61,262/4,GAT-112,3.36,391,"{""type"":""Polygon""}",Black Soil,Canal
113,61,718/1,GAT-113,3.97,391,"{""type"":""Polygon""}",Black Soil,Drip
114,62,542/3,GAT-114,7.46,311,"{""type"":""Polygon""}",Black Soil,Rainfed
115,62,759/1,GAT-115,1.57,311,"{""type"":""Polygon""}",Red Soil,Canal
116,62,889/5,GAT-116,1.33,311,"{""type"":""Polygon""}",Black Soil,Rainfed
117,63,487/1,GAT-117,3.44,4,"{""type"":""Polygon""}",Red Soil,Drip
118,63,926/1,GAT-118,1.04,4,"{""type"":""Polygon""}",Clay,Rainfed
119,64,740/5,GAT-119,9.18,59,"{""type"":""Polygon""}",Red Soil,Drip
120,64,979/5,GAT-120,9.08,59,"{""type"":""Polygon""}",Red Soil,Drip
121,65,940/2,GAT-121,9.91,198,"{""type"":""Polygon""}",Red Soil,Rainfed
122,65,351/4,GAT-122,3.74,198,"{""type"":""Polygon""}",Red Soil,Drip
123,65,381/3,GAT-123,6.13,198,"{""type"":""Polygon""}",Red Soil,Canal
124,66,918/1,GAT-124,5.92,295,"{""type"":""Polygon""}",Red Soil,Canal
125,67,552/1,GAT-125,6.19,468,"{""type"":""Polygon""}",Red Soil,Canal
126,68,287/5,GAT-126,9.4,344,"{""type"":""Polygon""}",Red Soil,Rainfed
127,69,693/3,GAT-127,8.29,411,"{""type"":""Polygon""}",Clay,Canal
128,69,293/1,GAT-128,3.72,411,"{""type"":""Polygon""}",Black Soil,Canal
129,70,197/5,GAT-129,4.32,151,"{""type"":""Polygon""}",Black Soil,Canal
130,70,556/1,GAT-130,8.14,151,"{""type"":""Polygon""}",Clay,Rainfed
131,70,909/1,GAT-131,2.24,151,"{""type"":""Polygon""}",Red Soil,Drip
132,71,481/3,GAT-132,6.38,130,"{""type"":""Polygon""}",Clay,Canal
133,72,504/4,GAT-133,9.74,167,"{""type"":""Polygon""}",Black Soil,Canal
134,73,85/5,GAT-134,2.61,227,"{""type"":""Polygon""}",Black Soil,Drip
135,73,700/2,GAT-135,3.52,227,"{""type"":""Polygon""}",Clay,Drip
136,74,341/1,GAT-136,9.72,429,"{""type"":""Polygon""}",Clay,Drip
137,74,792/5,GAT-137,2.52,429,"{""type"":""Polygon""}",Red Soil,Canal
138,75,622/4,GAT-138,9.55,7,"{""type"":""Polygon""}",Clay,Canal
139,75,347/3,GAT-139,7.44,7,"{""type"":""Polygon""}",Clay,Canal
140,75,692/2,GAT-140,4.15,7,"{""type"":""Polygon""}",Clay,Canal
141,76,380/2,GAT-141,5.41,119,"{""type"":""Polygon""}",Black Soil,Rainfed
142,76,41/2,GAT-142,3.63,119,"{""type"":""Polygon""}",Red Soil,Canal
143,77,381/5,GAT-143,4.46,1,"{""type"":""Polygon""}",Red Soil,Rainfed
144,78,578/4,GAT-144,0.61,273,"{""type"":""Polygon""}",Red Soil,Rainfed
145,78,536/5,GAT-145,6.26,273,"{""type"":""Polygon""}",Black Soil,Drip
146,78,713/2,GAT-146,1.76,273,"{""type"":""Polygon""}",Black Soil,Canal
147,79,42/5,GAT-147,4.45,423,"{""type"":""Polygon""}",Clay,Drip
148,80,774/5,GAT-148,4.79,188,"{""type"":""Polygon""}",Clay,Drip
149,81,973/3,GAT-149,6.96,83,"{""type"":""Polygon""}",Black Soil,Rainfed
150,81,795/3,GAT-150,1.82,83,"{""type"":""Polygon""}",Red Soil,Canal
151,82,374/1,GAT-151,6.81,126,"{""type"":""Polygon""}",Red Soil,Drip
152,83,682/4,GAT-152,0.98,112,"{""type"":""Polygon""}",Red Soil,Canal
153,83,444/3,GAT-153,6.96,112,"{""type"":""Polygon""}",Black Soil,Canal
154,84,769/1,GAT-154,2.64,221,"{""type"":""Polygon""}",Red Soil,Drip
155,84,541/3,GAT-155,6.42,221,"{""type"":""Polygon""}",Black Soil,Drip
156,85,255/3,GAT-156,3.77,313,"{""type"":""Polygon""}",Clay,Canal
157,86,571/1,GAT-157,2.07,386,"{""type"":""Polygon""}",Clay,Drip
158,86,833/5,GAT-158,6.1,386,"{""type"":""Polygon""}",Clay,Rainfed
159,87,3/3,GAT-159,3.23,132,"{""type"":""Polygon""}",Red Soil,Rainfed
160,87,625/3,GAT-160,7.49,132,"{""type"":""Polygon""}",Clay,Canal
161,87,445/2,GAT-161,3.71,132,"{""type"":""Polygon""}",Clay,Canal
162,88,652/5,GAT-162,5.53,329,"{""type"":""Polygon""}",Clay,Canal
163,88,682/3,GAT-163,5.08,329,"{""type"":""Polygon""}",Red Soil,Rainfed
164,89,241/3,GAT-164,3.91,307,"{""type"":""Polygon""}",Clay,Drip
165,89,568/3,GAT-165,3.32,307,"{""type"":""Polygon""}",Clay,Canal
166,89,950/4,GAT-166,2.14,307,"{""type"":""Polygon""}",Black Soil,Canal
167,90,576/5,GAT-167,1.34,40,"{""type"":""Polygon""}",Clay,Rainfed
168,90,786/2,GAT-168,7.77,40,"{""type"":""Polygon""}",Black Soil,Drip
169,91,483/1,GAT-169,6.91,8,"{""type"":""Polygon""}",Red Soil,Drip
170,92,74/5,GAT-170,9.47,73,"{""type"":""Polygon""}",Black Soil,Drip
171,92,825/5,GAT-171,5.87,73,"{""type"":""Polygon""}",Red Soil,Rainfed
172,92,585/4,GAT-172,7.13,73,"{""type"":""Polygon""}",Red Soil,Drip
173,93,662/5,GAT-173,4.23,332,"{""type"":""Polygon""}",Black Soil,Canal
174,93,284/2,GAT-174,7.22,332,"{""type"":""Polygon""}",Black Soil,Canal
175,93,246/3,GAT-175,4.2,332,"{""type"":""Polygon""}",Black Soil,Drip
176,94,399/5,GAT-176,7.2,92,"{""type"":""Polygon""}",Black Soil,Canal
177,95,836/4,GAT-177,8.96,203,"{""type"":""Polygon""}",Red Soil,Drip
178,95,44/2,GAT-178,5.55,203,"{""type"":""Polygon""}",Red Soil,Drip
179,96,229/5,GAT-179,6.68,373,"{""type"":""Polygon""}",Clay,Rainfed
180,97,682/1,GAT-180,2.2,166,"{""type"":""Polygon""}",Black Soil,Rainfed
181,97,721/4,GAT-181,6.38,166,"{""type"":""Polygon""}",Red Soil,Drip
182,97,164/3,GAT-182,6.84,166,"{""type"":""Polygon""}",Red Soil,Canal
183,98,709/2,GAT-183,0.6,425,"{""type"":""Polygon""}",Black Soil,Drip
184,98,738/1,GAT-184,9.51,425,"{""type"":""Polygon""}",Red Soil,Rainfed
185,99,330/4,GAT-185,3.84,412,"{""type"":""Polygon""}",Red Soil,Rainfed
186,100,502/5,GAT-186,6.77,320,"{""type"":""Polygon""}",Red Soil,Drip
187,100,941/3,GAT-187,8.07,320,"{""type"":""Polygon""}",Red Soil,Rainfed
188,100,369/2,GAT-188,2.56,320,"{""type"":""Polygon""}",Black Soil,Drip
189,101,665/3,GAT-189,9.98,464,"{""type"":""Polygon""}",Red Soil,Rainfed
190,102,764/4,GAT-190,5.2,160,"{""type"":""Polygon""}",Clay,Drip
191,103,248/3,GAT-191,1.76,24,"{""type"":""Polygon""}",Clay,Canal
192,103,248/2,GAT-192,2.76,24,"{""type"":""Polygon""}",Clay,Drip
193,104,798/5,GAT-193,2.35,429,"{""type"":""Polygon""}",Red Soil,Drip
194,105,234/4,GAT-194,7.44,334,"{""type"":""Polygon""}",Black Soil,Rainfed
195,106,414/5,GAT-195,4.75,34,"{""type"":""Polygon""}",Clay,Drip
196,107,931/3,GAT-196,2.6,437,"{""type"":""Polygon""}",Black Soil,Rainfed
197,107,430/3,GAT-197,4.63,437,"{""type"":""Polygon""}",Black Soil,Canal
198,107,709/3,GAT-198,8.18,437,"{""type"":""Polygon""}",Black Soil,Drip
199,108,958/5,GAT-199,7.5,278,"{""type"":""Polygon""}",Black Soil,Rainfed
200,108,930/1,GAT-200,7.62,278,"{""type"":""Polygon""}",Red Soil,Canal
201,109,386/4,GAT-201,3.09,190,"{""type"":""Polygon""}",Clay,Rainfed
202,110,306/4,GAT-202,7.54,188,"{""type"":""Polygon""}",Black Soil,Rainfed
203,110,619/1,GAT-203,7.78,188,"{""type"":""Polygon""}",Clay,Canal
204,111,712/5,GAT-204,4.91,466,"{""type"":""Polygon""}",Clay,Rainfed
205,111,883/3,GAT-205,1.8,466,"{""type"":""Polygon""}",Clay,Rainfed
206,112,989/3,GAT-206,7.02,478,"{""type"":""Polygon""}",Clay,Canal
207,113,803/2,GAT-207,9.46,454,"{""type"":""Polygon""}",Clay,Canal
208,113,393/3,GAT-208,9.02,454,"{""type"":""Polygon""}",Red Soil,Canal
209,114,404/2,GAT-209,1.0,124,"{""type"":""Polygon""}",Red Soil,Drip
210,115,97/3,GAT-210,7.71,446,"{""type"":""Polygon""}",Clay,Canal
211,115,611/2,GAT-211,2.87,446,"{""type"":""Polygon""}",Clay,Rainfed
212,116,991/5,GAT-212,4.95,340,"{""type"":""Polygon""}",Black Soil,Drip
213,116,640/1,GAT-213,3.74,340,"{""type"":""Polygon""}",Clay,Canal
214,116,157/1,GAT-214,2.29,340,"{""type"":""Polygon""}",Red Soil,Rainfed
215,117,650/4,GAT-215,8.8,145,"{""type"":""Polygon""}",Red Soil,Rainfed
216,118,668/4,GAT-216,6.04,250,"{""type"":""Polygon""}",Red Soil,Drip
217,118,294/2,GAT-217,3.47,250,"{""type"":""Polygon""}",Black Soil,Rainfed
218,119,702/4,GAT-218,2.9,285,"{""type"":""Polygon""}",Red Soil,Canal
219,119,620/4,GAT-219,6.76,285,"{""type"":""Polygon""}",Red Soil,Rainfed
220,120,470/4,GAT-220,2.61,208,"{""type"":""Polygon""}",Clay,Drip
221,120,474/4,GAT-221,2.59,208,"{""type"":""Polygon""}",Clay,Drip
222,121,114/2,GAT-222,5.73,473,"{""type"":""Polygon""}",Clay,Canal
223,121,266/1,GAT-223,7.94,473,"{""type"":""Polygon""}",Red Soil,Canal
224,122,629/1,GAT-224,4.76,226,"{""type"":""Polygon""}",Clay,Canal
225,122,827/2,GAT-225,6.12,226,"{""type"":""Polygon""}",Red Soil,Canal
226,123,435/5,GAT-226,6.79,35,"{""type"":""Polygon""}",Clay,Canal
227,123,686/3,GAT-227,9.59,35,"{""type"":""Polygon""}",Red Soil,Canal
228,124,448/4,GAT-228,5.85,241,"{""type"":""Polygon""}",Black Soil,Drip
229,124,482/4,GAT-229,3.3,241,"{""type"":""Polygon""}",Black Soil,Drip
230,124,538/5,GAT-230,5.5,241,"{""type"":""Polygon""}",Red Soil,Canal
231,125,631/4,GAT-231,7.92,30,"{""type"":""Polygon""}",Black Soil,Drip
232,125,9/5,GAT-232,9.65,30,"{""type"":""Polygon""}",Clay,Canal
233,125,370/4,GAT-233,4.92,30,"{""type"":""Polygon""}",Black Soil,Drip
234,126,811/3,GAT-234,8.7,382,"{""type"":""Polygon""}",Red Soil,Canal
235,127,447/4,GAT-235,0.58,31,"{""type"":""Polygon""}",Clay,Rainfed
236,127,642/5,GAT-236,3.18,31,"{""type"":""Polygon""}",Red Soil,Canal
237,127,926/3,GAT-237,3.77,31,"{""type"":""Polygon""}",Red Soil,Drip
238,128,824/5,GAT-238,2.17,268,"{""type"":""Polygon""}",Clay,Canal
239,129,519/1,GAT-239,1.43,52,"{""type"":""Polygon""}",Red Soil,Rainfed
240,130,462/5,GAT-240,2.64,240,"{""type"":""Polygon""}",Clay,Drip
241,131,92/4,GAT-241,5.45,414,"{""type"":""Polygon""}",Black Soil,Canal
242,131,310/3,GAT-242,3.09,414,"{""type"":""Polygon""}",Black Soil,Canal
243,132,389/5,GAT-243,0.93,106,"{""type"":""Polygon""}",Clay,Rainfed
244,132,161/5,GAT-244,9.35,106,"{""type"":""Polygon""}",Red Soil,Canal
245,133,851/2,GAT-245,6.6,62,"{""type"":""Polygon""}",Black Soil,Drip
246,133,387/2,GAT-246,5.67,62,"{""type"":""Polygon""}",Black Soil,Drip
247,133,360/3,GAT-247,3.69,62,"{""type"":""Polygon""}",Clay,Drip
248,134,90/1,GAT-248,5.25,132,"{""type"":""Polygon""}",Red Soil,Rainfed
249,135,652/4,GAT-249,7.98,463,"{""type"":""Polygon""}",Black Soil,Drip
250,136,591/5,GAT-250,4.36,276,"{""type"":""Polygon""}",Clay,Canal
251,137,967/3,GAT-251,1.81,341,"{""type"":""Polygon""}",Red Soil,Canal
252,138,908/4,GAT-252,4.16,75,"{""type"":""Polygon""}",Clay,Rainfed
253,138,29/1,GAT-253,8.66,75,"{""type"":""Polygon""}",Clay,Rainfed
254,138,426/2,GAT-254,9.83,75,"{""type"":""Polygon""}",Clay,Rainfed
255,139,292/1,GAT-255,2.11,439,"{""type"":""Polygon""}",Black Soil,Drip
256,140,583/5,GAT-256,3.08,9,"{""type"":""Polygon""}",Red Soil,Canal
257,140,837/5,GAT-257,3.57,9,"{""type"":""Polygon""}",Black Soil,Rainfed
258,141,112/5,GAT-258,9.38,231,"{""type"":""Polygon""}",Black Soil,Canal
259,141,568/3,GAT-259,2.29,231,"{""type"":""Polygon""}",Red Soil,Drip
260,142,945/2,GAT-260,7.9,225,"{""type"":""Polygon""}",Clay,Drip
261,142,467/5,GAT-261,4.6,225,"{""type"":""Polygon""}",Clay,Canal
262,143,424/1,GAT-262,5.41,384,"{""type"":""Polygon""}",Red Soil,Canal
263,143,129/5,GAT-263,4.75,384,"{""type"":""Polygon""}",Clay,Rainfed
264,143,82/4,GAT-264,9.78,384,"{""type"":""Polygon""}",Black Soil,Canal
265,144,5/1,GAT-265,1.32,206,"{""type"":""Polygon""}",Black Soil,Drip
266,144,900/4,GAT-266,9.33,206,"{""type"":""Polygon""}",Black Soil,Drip
267,144,610/2,GAT-267,3.74,206,"{""type"":""Polygon""}",Red Soil,Rainfed
268,145,437/5,GAT-268,2.13,185,"{""type"":""Polygon""}",Clay,Rainfed
269,145,326/5,GAT-269,6.96,185,"{""type"":""Polygon""}",Black Soil,Drip
270,145,420/2,GAT-270,5.34,185,"{""type"":""Polygon""}",Black Soil,Drip
271,146,105/5,GAT-271,1.43,245,"{""type"":""Polygon""}",Red Soil,Drip
272,147,976/1,GAT-272,6.39,319,"{""type"":""Polygon""}",Clay,Rainfed
273,147,622/5,GAT-273,3.1,319,"{""type"":""Polygon""}",Red Soil,Drip
274,147,969/4,GAT-274,1.49,319,"{""type"":""Polygon""}",Red Soil,Rainfed
275,148,404/2,GAT-275,6.8,104,"{""type"":""Polygon""}",Black Soil,Rainfed
276,148,739/4,GAT-276,7.68,104,"{""type"":""Polygon""}",Black Soil,Rainfed
277,148,738/2,GAT-277,4.95,104,"{""type"":""Polygon""}",Black Soil,Drip
278,149,826/3,GAT-278,1.2,116,"{""type"":""Polygon""}",Black Soil,Canal
279,149,25/2,GAT-279,2.02,116,"{""type"":""Polygon""}",Clay,Canal
280,150,133/4,GAT-280,6.01,91,"{""type"":""Polygon""}",Black Soil,Drip
281,150,705/4,GAT-281,2.73,91,"{""type"":""Polygon""}",Red Soil,Rainfed
282,151,635/2,GAT-282,2.54,292,"{""type"":""Polygon""}",Black Soil,Rainfed
283,151,384/3,GAT-283,2.54,292,"{""type"":""Polygon""}",Clay,Rainfed
284,151,749/2,GAT-284,1.4,292,"{""type"":""Polygon""}",Red Soil,Canal
285,152,190/1,GAT-285,1.64,424,"{""type"":""Polygon""}",Black Soil,Drip
286,152,889/2,GAT-286,6.05,424,"{""type"":""Polygon""}",Clay,Canal
287,153,189/1,GAT-287,3.99,416,"{""type"":""Polygon""}",Clay,Rainfed
288,153,77/1,GAT-288,3.1,416,"{""type"":""Polygon""}",Black Soil,Rainfed
289,153,708/5,GAT-289,9.62,416,"{""type"":""Polygon""}",Red Soil,Canal
290,154,778/5,GAT-290,9.04,288,"{""type"":""Polygon""}",Red Soil,Rainfed
291,154,313/4,GAT-291,1.77,288,"{""type"":""Polygon""}",Clay,Canal
292,154,615/1,GAT-292,3.69,288,"{""type"":""Polygon""}",Red Soil,Canal
293,155,262/3,GAT-293,5.64,134,"{""type"":""Polygon""}",Clay,Drip
294,155,502/1,GAT-294,1.09,134,"{""type"":""Polygon""}",Red Soil,Canal
295,155,244/4,GAT-295,4.17,134,"{""type"":""Polygon""}",Black Soil,Drip
296,156,817/4,GAT-296,9.68,214,"{""type"":""Polygon""}",Clay,Drip
297,157,433/3,GAT-297,9.96,70,"{""type"":""Polygon""}",Black Soil,Canal
298,157,635/2,GAT-298,3.95,70,"{""type"":""Polygon""}",Red Soil,Canal
299,157,713/5,GAT-299,5.04,70,"{""type"":""Polygon""}",Red Soil,Drip
300,158,469/2,GAT-300,5.3,86,"{""type"":""Polygon""}",Clay,Rainfed
301,158,172/3,GAT-301,4.92,86,"{""type"":""Polygon""}",Red Soil,Drip
302,159,364/5,GAT-302,5.3,42,"{""type"":""Polygon""}",Black Soil,Drip
303,159,514/4,GAT-303,8.49,42,"{""type"":""Polygon""}",Clay,Rainfed
304,160,617/4,GAT-304,1.29,130,"{""type"":""Polygon""}",Black Soil,Drip
305,161,544/4,GAT-305,2.19,382,"{""type"":""Polygon""}",Red Soil,Rainfed
306,161,124/2,GAT-306,1.88,382,"{""type"":""Polygon""}",Clay,Drip
307,162,252/5,GAT-307,1.12,27,"{""type"":""Polygon""}",Black Soil,Canal
308,162,703/1,GAT-308,1.33,27,"{""type"":""Polygon""}",Clay,Drip
309,163,330/2,GAT-309,7.61,463,"{""type"":""Polygon""}",Clay,Rainfed
310,163,662/3,GAT-310,1.36,463,"{""type"":""Polygon""}",Black Soil,Canal
311,164,566/5,GAT-311,4.22,386,"{""type"":""Polygon""}",Black Soil,Rainfed
312,164,847/2,GAT-312,9.57,386,"{""type"":""Polygon""}",Clay,Canal
313,165,146/2,GAT-313,3.01,38,"{""type"":""Polygon""}",Clay,Rainfed
314,165,520/3,GAT-314,9.32,38,"{""type"":""Polygon""}",Black Soil,Rainfed
315,165,543/1,GAT-315,5.63,38,"{""type"":""Polygon""}",Clay,Canal
