payment_id,survey_id,beneficiary_id,payment_reference,amount,payment_status,transaction_metadata
48,887,442,DBT-0000048,82265,PROCESSING,"{""bank"":""SBI""}"
49,211,569,DBT-0000049,9259,PROCESSING,"{""bank"":""SBI""}"
50,3478,1605,DBT-0000050,73715,COMPLETED,"{""bank"":""SBI""}"
51,2551,20,DBT-0000051,81648,COMPLETED,"{""bank"":""SBI""}"
52,2582,1782,DBT-0000052,6371,PENDING,"{""bank"":""SBI""}"
53,2667,728,DBT-0000053,35695,FAILED,"{""bank"":""SBI""}"
54,2913,1568,DBT-0000054,42100,PENDING,"{""bank"":""SBI""}"
55,1122,808,DBT-0000055,65573,PENDING,"{""bank"":""SBI""}"
56,251,1759,DBT-0000056,45700,PENDING,"{""bank"":""SBI""}"
57,1950,436,DBT-0000057,10251,PENDING,"{""bank"":""SBI""}"
58,595,1270,DBT-0000058,66224,PENDING,"{""bank"":""SBI""}"
59,1174,1121,DBT-0000059,84148,PENDING,"{""bank"":""SBI""}"
60,3057,614,DBT-0000060,69799,PROCESSING,"{""bank"":""SBI""}"
61,3056,1679,DBT-0000061,15555,COMPLETED,"{""bank"":""SBI""}"
62,4028,1091,DBT-0000062,45327,FAILED,"{""bank"":""SBI""}"
63,737,991,DBT-0000063,12553,COMPLETED,"{""bank"":""SBI""}"
64,3641,425,DBT-0000064,56798,PENDING,"{""bank"":""SBI""}"
65,1875,356,DBT-0000065,45560,FAILED,"{""bank"":""SBI""}"
66,3069,1048,DBT-0000066,43723,PENDING,"{""bank"":""SBI""}"
67,400,422,DBT-0000067,78217,PENDING,"{""bank"":""SBI""}"
68,29,813,DBT-0000068,57029,PENDING,"{""bank"":""SBI""}"
69,3563,1850,DBT-0000069,81845,PROCESSING,"{""bank"":""SBI""}"
70,353,857,DBT-0000070,90596,FAILED,"{""bank"":""SBI""}"
71,3623,505,DBT-0000071,68263,FAILED,"{""bank"":""SBI""}"
72,2628,1634,DBT-0000072,93757,PROCESSING,"{""bank"":""SBI""}"
73,3091,1069,DBT-0000073,28066,PENDING,"{""bank"":""SBI""}"
74,3430,1952,DBT-0000074,59956,PENDING,"{""bank"":""SBI""}"
75,2850,285,DBT-0000075,12936,COMPLETED,"{""bank"":""SBI""}"
76,1384,1263,DBT-0000076,19507,PENDING,"{""bank"":""SBI""}"
77,3436,1545,DBT-0000077,39683,PROCESSING,"{""bank"":""SBI""}"
78,2918,1979,DBT-0000078,54855,COMPLETED,"{""bank"":""SBI""}"
79,3967,1262,DBT-0000079,20097,COMPLETED,"{""bank"":""SBI""}"
80,1689,974,DBT-0000080,72350,PROCESSING,"{""bank"":""SBI""}"
81,2570,1859,DBT-0000081,6678,PROCESSING,"{""bank"":""SBI""}"
82,2942,1358,DBT-0000082,15473,FAILED,"{""bank"":""SBI""}"
83,1260,1098,DBT-0000083,77072,PROCESSING,"{""bank"":""SBI""}"
84,1269,1566,DBT-0000084,27915,PROCESSING,"{""bank"":""SBI""}"
85,1864,811,DBT-0000085,84217,COMPLETED,"{""bank"":""SBI""}"
86,1925,152,DBT-0000086,45046,FAILED,"{""bank"":""SBI""}"
87,1882,611,DBT-0000087,28901,PENDING,"{""bank"":""SBI""}"
88,761,2,DBT-0000088,63692,PROCESSING,"{""bank"":""SBI""}"
89,977,1787,DBT-0000089,98882,COMPLETED,"{""bank"":""SBI""}"
90,3021,77,DBT-0000090,88389,COMPLETED,"{""bank"":""SBI""}"
91,59,1330,DBT-0000091,13255,PENDING,"{""bank"":""SBI""}"
92,295,1971,DBT-0000092,14045,COMPLETED,"{""bank"":""SBI""}"
93,2214,1827,DBT-0000093,10252,PENDING,"{""bank"":""SBI""}"
94,1975,960,DBT-0000094,83631,PROCESSING,"{""bank"":""SBI""}"
95,1827,1898,DBT-0000095,27721,COMPLETED,"{""bank"":""SBI""}"
96,2068,166,DBT-0000096,95615,COMPLETED,"{""bank"":""SBI""}"
97,2102,1123,DBT-0000097,32521,FAILED,"{""bank"":""SBI""}"
98,1136,1183,DBT-0000098,28349,FAILED,"{""bank"":""SBI""}"
99,2450,1950,DBT-0000099,92911,FAILED,"{""bank"":""SBI""}"
100,1568,1133,DBT-0000100,91061,FAILED,"{""bank"":""SBI""}"
101,1851,1812,DBT-0000101,76392,PENDING,"{""bank"":""SBI""}"
102,1859,1511,DBT-0000102,24294,PENDING,"{""bank"":""SBI""}"
103,467,1710,DBT-0000103,5914,COMPLETED,"{""bank"":""SBI""}"
104,2356,1751,DBT-0000104,98034,FAILED,"{""bank"":""SBI""}"
105,2874,1005,DBT-0000105,14178,FAILED,"{""bank"":""SBI""}"
106,1941,1635,DBT-0000106,74391,PROCESSING,"{""bank"":""SBI""}"
107,785,1958,DBT-0000107,21791,FAILED,"{""bank"":""SBI""}"
108,2201,670,DBT-0000108,76215,COMPLETED,"{""bank"":""SBI""}"
109,3575,1071,DBT-0000109,80951,FAILED,"{""bank"":""SBI""}"
110,1435,877,DBT-0000110,59904,FAILED,"{""bank"":""SBI""}"
111,110,1196,DBT-0000111,63630,FAILED,"{""bank"":""SBI""}"
112,704,1053,DBT-0000112,90736,PROCESSING,"{""bank"":""SBI""}"
113,112,1373,DBT-0000113,72380,FAILED,"{""bank"":""SBI""}"
114,672,411,DBT-0000114,55536,FAILED,"{""bank"":""SBI""}"
115,2400,1564,DBT-0000115,52069,COMPLETED,"{""bank"":""SBI""}"
116,3025,1188,DBT-0000116,8757,PROCESSING,"{""bank"":""SBI""}"
117,1571,1895,DBT-0000117,43284,FAILED,"{""bank"":""SBI""}"
118,2146,1316,DBT-0000118,45757,FAILED,"{""bank"":""SBI""}"
119,4027,937,DBT-0000119,26516,COMPLETED,"{""bank"":""SBI""}"
120,563,454,DBT-0000120,71168,PROCESSING,"{""bank"":""SBI""}"
121,899,1361,DBT-0000121,30451,PENDING,"{""bank"":""SBI""}"
122,3832,1530,DBT-0000122,72496,FAILED,"{""bank"":""SBI""}"
123,3683,903,DBT-0000123,75248,COMPLETED,"{""bank"":""SBI""}"
124,3171,992,DBT-0000124,30900,COMPLETED,"{""bank"":""SBI""}"
125,1012,850,DBT-0000125,48153,PROCESSING,"{""bank"":""SBI""}"
126,2039,1084,DBT-0000126,20120,FAILED,"{""bank"":""SBI""}"
127,3972,1116,DBT-0000127,50897,PROCESSING,"{""bank"":""SBI""}"
128,2115,738,DBT-0000128,72126,PROCESSING,"{""bank"":""SBI""}"
129,1044,1370,DBT-0000129,58469,FAILED,"{""bank"":""SBI""}"
130,3305,1555,DBT-0000130,95122,PENDING,"{""bank"":""SBI""}"
131,268,1660,DBT-0000131,64474,PROCESSING,"{""bank"":""SBI""}"
132,1383,1694,DBT-0000132,34518,COMPLETED,"{""bank"":""SBI""}"
133,1303,76,DBT-0000133,46799,FAILED,"{""bank"":""SBI""}"
134,2691,1042,DBT-0000134,44156,PROCESSING,"{""bank"":""SBI""}"
135,302,368,DBT-0000135,47071,FAILED,"{""bank"":""SBI""}"
136,108,1667,DBT-0000136,18875,COMPLETED,"{""bank"":""SBI""}"
137,1299,1464,DBT-0000137,67401,COMPLETED,"{""bank"":""SBI""}"
138,1727,1690,DBT-0000138,22107,FAILED,"{""bank"":""SBI""}"
139,3613,1237,DBT-0000139,63306,PENDING,"{""bank"":""SBI""}"
140,162,1721,DBT-0000140,21874,COMPLETED,"{""bank"":""SBI""}"
141,2289,993,DBT-0000141,38344,FAILED,"{""bank"":""SBI""}"
142,2131,899,DBT-0000142,54774,PENDING,"{""bank"":""SBI""}"
143,3651,194,DBT-0000143,55432,PENDING,"{""bank"":""SBI""}"
144,577,1939,DBT-0000144,73182,PENDING,"{""bank"":""SBI""}"
145,1893,1167,DBT-0000145,16701,PENDING,"{""bank"":""SBI""}"
146,2388,94,DBT-0000146,27573,FAILED,"{""bank"":""SBI""}"
147,2237,159,DBT-0000147,66240,FAILED,"{""bank"":""SBI""}"
148,3849,81,DBT-0000148,16509,FAILED,"{""bank"":""SBI""}"
149,1659,1728,DBT-0000149,26652,PROCESSING,"{""bank"":""SBI""}"
150,3509,1581,DBT-0000150,60670,COMPLETED,"{""bank"":""SBI""}"
151,1161,990,DBT-0000151,37296,PENDING,"{""bank"":""SBI""}"
152,3729,1517,DBT-0000152,50185,FAILED,"{""bank"":""SBI""}"
153,2644,530,DBT-0000153,53576,PROCESSING,"{""bank"":""SBI""}"
154,3150,1267,DBT-0000154,14484,PENDING,"{""bank"":""SBI""}"
155,78,315,DBT-0000155,44675,COMPLETED,"{""bank"":""SBI""}"
156,2744,1957,DBT-0000156,29978,COMPLETED,"{""bank"":""SBI""}"
157,914,558,DBT-0000157,77281,PENDING,"{""bank"":""SBI""}"
158,3066,330,DBT-0000158,70404,PROCESSING,"{""bank"":""SBI""}"
159,3220,266,DBT-0000159,95819,PROCESSING,"{""bank"":""SBI""}"
160,2945,1676,DBT-0000160,34270,COMPLETED,"{""bank"":""SBI""}"
161,3848,1384,DBT-0000161,74547,PROCESSING,"{""bank"":""SBI""}"
162,3051,1941,DBT-0000162,22936,COMPLETED,"{""bank"":""SBI""}"
163,998,1115,DBT-0000163,32340,PENDING,"{""bank"":""SBI""}"
164,2051,1698,DBT-0000164,71342,COMPLETED,"{""bank"":""SBI""}"
165,3925,274,DBT-0000165,97232,COMPLETED,"{""bank"":""SBI""}"
166,1702,1319,DBT-0000166,25785,PROCESSING,"{""bank"":""SBI""}"
167,2221,100,DBT-0000167,17706,COMPLETED,"{""bank"":""SBI""}"
168,841,1526,DBT-0000168,35536,COMPLETED,"{""bank"":""SBI""}"
169,1294,888,DBT-0000169,88218,PENDING,"{""bank"":""SBI""}"
170,3323,1128,DBT-0000170,35922,FAILED,"{""bank"":""SBI""}"
171,3184,746,DBT-0000171,35437,PENDING,"{""bank"":""SBI""}"
172,1053,1148,DBT-0000172,44204,PROCESSING,"{""bank"":""SBI""}"
173,2822,666,DBT-0000173,45946,PROCESSING,"{""bank"":""SBI""}"
174,444,795,DBT-0000174,42581,FAILED,"{""bank"":""SBI""}"
175,3607,1556,DBT-0000175,98814,PENDING,"{""bank"":""SBI""}"
176,3766,403,DBT-0000176,56927,PENDING,"{""bank"":""SBI""}"
177,847,816,DBT-0000177,37075,PROCESSING,"{""bank"":""SBI""}"
178,3221,207,DBT-0000178,72902,COMPLETED,"{""bank"":""SBI""}"
179,2858,1973,DBT-0000179,22637,PENDING,"{""bank"":""SBI""}"
180,1187,409,DBT-0000180,30203,COMPLETED,"{""bank"":""SBI""}"
181,1685,1697,DBT-0000181,42916,COMPLETED,"{""bank"":""SBI""}"
182,3585,1509,DBT-0000182,28622,COMPLETED,"{""bank"":""SBI""}"
183,1821,1130,DBT-0000183,75211,PENDING,"{""bank"":""SBI""}"
184,3655,1131,DBT-0000184,13202,FAILED,"{""bank"":""SBI""}"
185,2040,1455,DBT-0000185,21737,PENDING,"{""bank"":""SBI""}"
186,448,824,DBT-0000186,36869,FAILED,"{""bank"":""SBI""}"
187,327,1232,DBT-0000187,97303,PENDING,"{""bank"":""SBI""}"
188,2805,1640,DBT-0000188,6704,PENDING,"{""bank"":""SBI""}"
189,1028,144,DBT-0000189,8364,PENDING,"{""bank"":""SBI""}"
190,1343,891,DBT-0000190,81355,PENDING,"{""bank"":""SBI""}"
191,1524,334,DBT-0000191,49656,COMPLETED,"{""bank"":""SBI""}"
192,1651,317,DBT-0000192,78192,PENDING,"{""bank"":""SBI""}"
193,1673,1177,DBT-0000193,63394,COMPLETED,"{""bank"":""SBI""}"
194,181,688,DBT-0000194,33521,PENDING,"{""bank"":""SBI""}"
195,3708,168,DBT-0000195,32344,PENDING,"{""bank"":""SBI""}"
196,1183,1258,DBT-0000196,64810,COMPLETED,"{""bank"":""SBI""}"
197,3715,1578,DBT-0000197,37556,PENDING,"{""bank"":""SBI""}"
198,3151,173,DBT-0000198,7793,FAILED,"{""bank"":""SBI""}"
199,701,325,DBT-0000199,92464,PROCESSING,"{""bank"":""SBI""}"
200,4012,898,DBT-0000200,94804,COMPLETED,"{""bank"":""SBI""}"
201,4004,1307,DBT-0000201,46656,COMPLETED,"{""bank"":""SBI""}"
202,665,634,DBT-0000202,21579,PENDING,"{""bank"":""SBI""}"
203,2857,981,DBT-0000203,51848,PROCESSING,"{""bank"":""SBI""}"
204,3703,1145,DBT-0000204,52608,COMPLETED,"{""bank"":""SBI""}"
205,748,1105,DBT-0000205,85938,COMPLETED,"{""bank"":""SBI""}"
206,499,1427,DBT-0000206,34191,PROCESSING,"{""bank"":""SBI""}"
207,3211,1101,DBT-0000207,75468,PROCESSING,"{""bank"":""SBI""}"
208,3152,1015,DBT-0000208,20332,PENDING,"{""bank"":""SBI""}"
209,3484,959,DBT-0000209,93423,FAILED,"{""bank"":""SBI""}"
210,3157,757,DBT-0000210,16727,FAILED,"{""bank"":""SBI""}"
211,558,562,DBT-0000211,48490,PENDING,"{""bank"":""SBI""}"
212,975,910,DBT-0000212,89101,COMPLETED,"{""bank"":""SBI""}"
213,967,1812,DBT-0000213,78573,COMPLETED,"{""bank"":""SBI""}"
214,1335,446,DBT-0000214,45087,PROCESSING,"{""bank"":""SBI""}"
215,3762,1866,DBT-0000215,17588,PENDING,"{""bank"":""SBI""}"
216,3787,1879,DBT-0000216,51189,COMPLETED,"{""bank"":""SBI""}"
217,3650,1828,DBT-0000217,37488,FAILED,"{""bank"":""SBI""}"
218,2800,1688,DBT-0000218,16121,COMPLETED,"{""bank"":""SBI""}"
219,2174,166,DBT-0000219,52449,FAILED,"{""bank"":""SBI""}"
220,2233,1084,DBT-0000220,53451,PENDING,"{""bank"":""SBI""}"
221,3142,712,DBT-0000221,22850,FAILED,"{""bank"":""SBI""}"
222,83,558,DBT-0000222,34807,PENDING,"{""bank"":""SBI""}"
223,2938,452,DBT-0000223,89445,COMPLETED,"{""bank"":""SBI""}"
224,3759,373,DBT-0000224,79146,FAILED,"{""bank"":""SBI""}"
225,391,1845,DBT-0000225,19000,COMPLETED,"{""bank"":""SBI""}"
226,2767,93,DBT-0000226,37746,PENDING,"{""bank"":""SBI""}"
227,2092,1215,DBT-0000227,32723,PROCESSING,"{""bank"":""SBI""}"
228,127,523,DBT-0000228,16521,FAILED,"{""bank"":""SBI""}"
229,1895,916,DBT-0000229,43294,FAILED,"{""bank"":""SBI""}"
230,320,1088,DBT-0000230,43386,FAILED,"{""bank"":""SBI""}"
231,1233,1198,DBT-0000231,73347,PENDING,"{""bank"":""SBI""}"
232,2643,1611,DBT-0000232,36603,COMPLETED,"{""bank"":""SBI""}"
233,1911,1551,DBT-0000233,86436,PENDING,"{""bank"":""SBI""}"
234,566,1569,DBT-0000234,47475,PROCESSING,"{""bank"":""SBI""}"
235,2190,106,DBT-0000235,97072,PENDING,"{""bank"":""SBI""}"
236,2481,1731,DBT-0000236,54229,PENDING,"{""bank"":""SBI""}"
237,241,1987,DBT-0000237,52137,FAILED,"{""bank"":""SBI""}"
238,3181,674,DBT-0000238,72971,COMPLETED,"{""bank"":""SBI""}"
239,1965,1284,DBT-0000239,55035,COMPLETED,"{""bank"":""SBI""}"
240,683,11,DBT-0000240,50469,COMPLETED,"{""bank"":""SBI""}"
241,2090,1735,DBT-0000241,37324,PROCESSING,"{""bank"":""SBI""}"
242,1913,1822,DBT-0000242,93371,PROCESSING,"{""bank"":""SBI""}"
243,2252,440,DBT-0000243,86024,PENDING,"{""bank"":""SBI""}"
244,249,1085,DBT-0000244,97691,PROCESSING,"{""bank"":""SBI""}"
245,3957,329,DBT-0000245,87376,PENDING,"{""bank"":""SBI""}"
246,3569,1794,DBT-0000246,56030,FAILED,"{""bank"":""SBI""}"
247,2623,183,DBT-0000247,99066,PENDING,"{""bank"":""SBI""}"
248,3632,1310,DBT-0000248,36958,FAILED,"{""bank"":""SBI""}"
249,3652,871,DBT-0000249,96948,FAILED,"{""bank"":""SBI""}"
250,1469,1174,DBT-0000250,41413,PROCESSING,"{""bank"":""SBI""}"
251,3772,1266,DBT-0000251,5510,PROCESSING,"{""bank"":""SBI""}"
252,2305,983,DBT-0000252,65510,COMPLETED,"{""bank"":""SBI""}"
253,3518,44,DBT-0000253,95866,PROCESSING,"{""bank"":""SBI""}"
254,2561,1931,DBT-0000254,15305,FAILED,"{""bank"":""SBI""}"
255,3001,258,DBT-0000255,55164,COMPLETED,"{""bank"":""SBI""}"
256,1842,433,DBT-0000256,34807,FAILED,"{""bank"":""SBI""}"
257,446,1709,DBT-0000257,47336,COMPLETED,"{""bank"":""SBI""}"
258,3559,1308,DBT-0000258,26656,FAILED,"{""bank"":""SBI""}"
259,1146,897,DBT-0000259,11701,FAILED,"{""bank"":""SBI""}"
260,3807,1807,DBT-0000260,88331,COMPLETED,"{""bank"":""SBI""}"
261,3891,1887,DBT-0000261,61992,PENDING,"{""bank"":""SBI""}"
262,2460,1047,DBT-0000262,42360,FAILED,"{""bank"":""SBI""}"
263,3145,1518,DBT-0000263,29817,COMPLETED,"{""bank"":""SBI""}"
264,1429,1777,DBT-0000264,76972,PENDING,"{""bank"":""SBI""}"
265,2362,1346,DBT-0000265,62551,PROCESSING,"{""bank"":""SBI""}"
266,1586,1728,DBT-0000266,40241,FAILED,"{""bank"":""SBI""}"
267,3042,1351,DBT-0000267,77620,FAILED,"{""bank"":""SBI""}"
268,2294,1344,DBT-0000268,9034,PENDING,"{""bank"":""SBI""}"
269,2765,1376,DBT-0000269,38123,FAILED,"{""bank"":""SBI""}"
270,947,539,DBT-0000270,68413,COMPLETED,"{""bank"":""SBI""}"
271,2640,997,DBT-0000271,82028,PROCESSING,"{""bank"":""SBI""}"
272,3362,56,DBT-0000272,54375,PROCESSING,"{""bank"":""SBI""}"
273,2348,1213,DBT-0000273,89145,FAILED,"{""bank"":""SBI""}"
274,2824,1817,DBT-0000274,94601,FAILED,"{""bank"":""SBI""}"
275,2986,1571,DBT-0000275,74111,PROCESSING,"{""bank"":""SBI""}"
276,519,921,DBT-0000276,68366,PENDING,"{""bank"":""SBI""}"
277,2784,73,DBT-0000277,74450,PROCESSING,"{""bank"":""SBI""}"
278,1476,1404,DBT-0000278,21459,FAILED,"{""bank"":""SBI""}"
279,2753,405,DBT-0000279,83100,PENDING,"{""bank"":""SBI""}"
280,3714,375,DBT-0000280,94634,COMPLETED,"{""bank"":""SBI""}"
281,1464,9,DBT-0000281,80277,PROCESSING,"{""bank"":""SBI""}"
282,2059,1769,DBT-0000282,75526,COMPLETED,"{""bank"":""SBI""}"
283,2084,1013,DBT-0000283,52294,FAILED,"{""bank"":""SBI""}"
284,2763,1499,DBT-0000284,35643,PENDING,"{""bank"":""SBI""}"
285,19,1634,DBT-0000285,28752,FAILED,"{""bank"":""SBI""}"
286,1224,1392,DBT-0000286,79993,COMPLETED,"{""bank"":""SBI""}"
287,201,387,DBT-0000287,82115,FAILED,"{""bank"":""SBI""}"
288,2116,171,DBT-0000288,37868,PROCESSING,"{""bank"":""SBI""}"
289,1458,876,DBT-0000289,19542,FAILED,"{""bank"":""SBI""}"
290,1718,842,DBT-0000290,67706,PENDING,"{""bank"":""SBI""}"
291,496,1062,DBT-0000291,16391,FAILED,"{""bank"":""SBI""}"
292,3385,1798,DBT-0000292,41723,COMPLETED,"{""bank"":""SBI""}"
293,1054,1741,DBT-0000293,37823,PENDING,"{""bank"":""SBI""}"
294,1076,625,DBT-0000294,48354,PROCESSING,"{""bank"":""SBI""}"
295,2290,1406,DBT-0000295,35302,PENDING,"{""bank"":""SBI""}"
296,2854,1525,DBT-0000296,56216,PENDING,"{""bank"":""SBI""}"
297,2611,603,DBT-0000297,98618,PENDING,"{""bank"":""SBI""}"
298,1418,619,DBT-0000298,30947,PENDING,"{""bank"":""SBI""}"
299,724,1544,DBT-0000299,6086,PROCESSING,"{""bank"":""SBI""}"
300,3124,1304,DBT-0000300,57566,PENDING,"{""bank"":""SBI""}"
301,3118,604,DBT-0000301,89550,PROCESSING,"{""bank"":""SBI""}"
302,2391,920,DBT-0000302,12450,COMPLETED,"{""bank"":""SBI""}"
303,1398,736,DBT-0000303,74219,FAILED,"{""bank"":""SBI""}"
304,325,1349,DBT-0000304,9878,PROCESSING,"{""bank"":""SBI""}"
305,1938,432,DBT-0000305,20350,PENDING,"{""bank"":""SBI""}"
306,3172,1977,DBT-0000306,56703,COMPLETED,"{""bank"":""SBI""}"
307,484,280,DBT-0000307,28337,PROCESSING,"{""bank"":""SBI""}"
308,1095,35,DBT-0000308,37535,PROCESSING,"{""bank"":""SBI""}"
309,2468,1553,DBT-0000309,62550,FAILED,"{""bank"":""SBI""}"
310,1694,38,DBT-0000310,63938,FAILED,"{""bank"":""SBI""}"
311,1710,1880,DBT-0000311,59963,FAILED,"{""bank"":""SBI""}"
312,2184,466,DBT-0000312,45614,PENDING,"{""bank"":""SBI""}"
313,680,840,DBT-0000313,14729,FAILED,"{""bank"":""SBI""}"
314,2977,1527,DBT-0000314,69739,COMPLETED,"{""bank"":""SBI""}"
315,2781,1011,DBT-0000315,32212,COMPLETED,"{""bank"":""SBI""}"
316,2224,1833,DBT-0000316,23555,PROCESSING,"{""bank"":""SBI""}"
317,1006,889,DBT-0000317,33319,COMPLETED,"{""bank"":""SBI""}"
318,452,1552,DBT-0000318,81403,PENDING,"{""bank"":""SBI""}"
319,912,1212,DBT-0000319,56766,COMPLETED,"{""bank"":""SBI""}"
320,1259,1164,DBT-0000320,55826,FAILED,"{""bank"":""SBI""}"
321,1360,1000,DBT-0000321,38735,FAILED,"{""bank"":""SBI""}"
322,1482,856,DBT-0000322,65791,FAILED,"{""bank"":""SBI""}"
323,1738,1824,DBT-0000323,40502,FAILED,"{""bank"":""SBI""}"
324,2358,1700,DBT-0000324,89704,FAILED,"{""bank"":""SBI""}"
325,4005,18,DBT-0000325,22799,COMPLETED,"{""bank"":""SBI""}"
326,1706,704,DBT-0000326,94743,FAILED,"{""bank"":""SBI""}"
327,1725,683,DBT-0000327,15053,FAILED,"{""bank"":""SBI""}"
328,3301,679,DBT-0000328,58583,COMPLETED,"{""bank"":""SBI""}"
329,2300,1983,DBT-0000329,47478,COMPLETED,"{""bank"":""SBI""}"
330,561,1448,DBT-0000330,15547,FAILED,"{""bank"":""SBI""}"
331,49,1843,DBT-0000331,24358,COMPLETED,"{""bank"":""SBI""}"
332,3648,1288,DBT-0000332,19899,COMPLETED,"{""bank"":""SBI""}"
333,189,1840,DBT-0000333,30934,PROCESSING,"{""bank"":""SBI""}"
334,1985,1026,DBT-0000334,66413,PENDING,"{""bank"":""SBI""}"
335,3309,178,DBT-0000335,83964,PENDING,"{""bank"":""SBI""}"
336,140,981,DBT-0000336,51817,PENDING,"{""bank"":""SBI""}"
337,1247,426,DBT-0000337,88596,PROCESSING,"{""bank"":""SBI""}"
338,586,75,DBT-0000338,72963,PROCESSING,"{""bank"":""SBI""}"
339,853,1133,DBT-0000339,68664,FAILED,"{""bank"":""SBI""}"
340,2445,1450,DBT-0000340,8163,PENDING,"{""bank"":""SBI""}"
341,3276,1142,DBT-0000341,30117,FAILED,"{""bank"":""SBI""}"
342,3627,1247,DBT-0000342,95595,PENDING,"{""bank"":""SBI""}"
343,624,354,DBT-0000343,37846,PROCESSING,"{""bank"":""SBI""}"
344,2899,318,DBT-0000344,17553,PENDING,"{""bank"":""SBI""}"
345,2101,86,DBT-0000345,70571,PROCESSING,"{""bank"":""SBI""}"
346,1889,1413,DBT-0000346,11006,COMPLETED,"{""bank"":""SBI""}"
347,3861,206,DBT-0000347,28833,COMPLETED,"{""bank"":""SBI""}"
348,442,1703,DBT-0000348,41661,PROCESSING,"{""bank"":""SBI""}"
349,950,415,DBT-0000349,17079,FAILED,"{""bank"":""SBI""}"
350,214,1797,DBT-0000350,53618,COMPLETED,"{""bank"":""SBI""}"
351,1921,224,DBT-0000351,97056,PENDING,"{""bank"":""SBI""}"
352,3976,1831,DBT-0000352,58752,PROCESSING,"{""bank"":""SBI""}"
353,208,779,DBT-0000353,42869,PENDING,"{""bank"":""SBI""}"
354,2549,624,DBT-0000354,33106,COMPLETED,"{""bank"":""SBI""}"
